,cid,brand,model,datamonth,price,biz30day,total_sold_price,model_ratings,model_rank
4,2018101516,aderans,VEGAS PREMIUM,201812,3736.83,619,2373198.2199999997,92.77,147.0
6,2018101516,aifono,20T,201812,400.45,1033,412434.0,90.85,201.0
14,2018101516,alkan/奥·诺·康,HRF-10T-PRO,201812,399.0,107,42693.0,80.09,371.0
16,2018101516,alkan/奥·诺·康,吸黑头仪器,201812,99.0,298,29502.0,89.53,235.0
24,2018101516,amiro,AML005,201812,469.0,1006,572132.0,53.02,515.0
42,2018101516,aqua plus+,AQUA PEEL三代,201812,6219.05,535,3327368.72,80.9,359.0
43,2018101516,aveyrona,A001,201812,168.0,204,34272.0,68.97,493.0
45,2018101516,aveyrona,FB-001A,201812,168.0,33,5544.0,75.78,435.0
115,2018101516,belulu,KRD-1008,201812,2918.0,899,2488866.0,78.75,393.0
134,2018101516,belulu,KRD-1033(S),201812,2180.0,235,486722.0,89.81,225.0
156,2018101516,belulu,KRD1033,201812,1680.0,3164,5191154.46,78.6,398.0
162,2018101516,bestday/贝尔斯顿,MR-3888,201812,228.0,41,9248.0,71.64,482.0
185,2018101516,betico/贝蒂科,BTC-1605,201812,680.0,454,309200.54000000004,93.63,113.0
189,2018101516,big eve/张大奕,AR-783,201812,209.0,2334,466545.0,75.15,444.0
191,2018101516,big eve/张大奕,F82,201812,799.0,541,432259.0,78.34,402.0
199,2018101516,binzim,BZ-0702,201812,499.0,3018,899045.0,97.09,21.0
213,2018101516,blingbelle,BS-030,201812,86.51,7875,672526.4599999998,53.63,514.0
222,2018101516,blingbelle,BS-050,201812,229.11,3968,909434.0,80.72,364.0
236,2018101516,blingbelle,BS-40,201812,86.3,38370,3265519.8,87.43,277.0
248,2018101516,blingbelle,BS040,201812,92.9,842,75013.0,92.07,166.0
256,2018101516,blingbelle,面膜仪,201812,222.88,1832,411669.87,82.18,338.0
262,2018101516,blingbelle,黑头仪,201812,84.94,2023,156555.8,70.25,488.0
266,2018101516,bosidin/博思迪,D-11121,201812,299.0,413,123487.0,88.36,259.0
280,2018101516,bosidin/博思迪,D-1121,201812,257.88,40119,9572462.0,95.55,61.0
281,2018101516,bosidin/博思迪,D-1142,201812,198.0,312,61776.0,94.03,102.0
306,2018101516,careshow,CS-638,201812,178.0,22747,4099298.75,80.92,358.0
315,2018101516,careshow,CS-680,201812,278.0,793,220454.0,91.93,172.0
335,2018101516,careshow,CS638A CS628A,201812,178.0,3140,563695.34,91.85,174.0
343,2018101516,chainer/彩妮,2120,201812,268.0,213,50649.0,81.77,344.0
357,2018101516,chainer/彩妮,2130,201812,224.67,1184,245442.0,95.16,69.0
358,2018101516,chainer/彩妮,5141,201812,229.0,122,27938.0,80.87,360.0
375,2018101516,chainer/彩妮,CN-8122,201812,859.0,219,160991.0,94.92,76.0
382,2018101516,chainer/彩妮,CN-8136,201812,88.0,131,11528.0,91.0,196.0
394,2018101516,clarisonic/科莱丽,SPU美容仪,201812,2265.67,871,1992173.7,74.23,449.0
400,2018101516,coflag/克芙莱,A01011,201812,128.0,17,2566.0,48.57,518.0
402,2018101516,coflag/克芙莱,TY-16,201812,78.0,118,11104.0,77.67,417.0
404,2018101516,comface/蔻肤,M9,201812,126.0,14,1764.0,,
416,2018101516,comface/蔻肤,XI-2,201812,78.0,448,37294.0,82.77,333.0
432,2018101516,cosbeauty/可思美,/,201812,698.0,606,420084.0,83.5,323.0
464,2018101516,cosbeauty/可思美,CB-018-R01,201812,798.0,1182,803982.51,89.59,234.0
492,2018101516,cosbeauty/可思美,CB-022,201812,1080.0,1499,1673739.36,82.95,330.0
505,2018101516,cosbeauty/可思美,CB-032,201812,1680.0,39,64119.0,78.14,404.0
510,2018101516,cosbeauty/可思美,CB-042,201812,2099.0,316,863484.0,86.22,290.0
531,2018101516,dearfere,DF-1FB,201812,2017.62,6296,14819949.34,87.66,270.0
547,2018101516,deesse,-02,201812,1296.0,146,227376.0,,
549,2018101516,define beauty/定义美,SG-889,201812,45.6,265,12852.0,82.41,335.0
554,2018101516,define beauty/定义美,TXB-102,201812,131.33,1504,197665.61,93.9,105.0
560,2018101516,define beauty/定义美,吸黑头,201812,126.0,563,70938.0,94.22,97.0
592,2018101516,deparee/蒂巴蕾,7901,201812,298.0,1117,292816.0,91.69,180.0
601,2018101516,deparee/蒂巴蕾,C801,201812,498.0,772,364536.0,95.69,58.0
617,2018101516,deparee/蒂巴蕾,CS-680,201812,398.0,1802,589956.0,88.59,252.0
620,2018101516,deparee/蒂巴蕾,R-01,201812,199.0,68,13212.0,79.45,387.0
623,2018101516,derma w,DERMAWAND射频美容仪,201812,598.0,483,334550.0,87.93,263.0
632,2018101516,derma w,DERMAWAND逆龄射频注氧棒,201812,686.16,6711,4430603.53,92.96,140.0
641,2018101516,derma w,TDX2440,201812,707.59,810,540279.0,89.94,222.0
646,2018101516,dermawand,射频仪,201812,759.0,210,142790.0,90.37,210.0
658,2018101516,dewos/德沃思,202,201812,315.0,7736,3279106.4,97.18,15.0
670,2018101516,dewos/德沃思,N18,201812,477.6,2190,1045943.9899999999,78.61,397.0
677,2018101516,dewos/德沃思,养生之道仪,201812,980.0,224,225434.0,90.52,207.0
682,2018101516,dewos/德沃思,注氧仪,201812,429.6,1437,619435.2000000001,93.01,137.0
688,2018101516,dewos/德沃思,立体精雕仪,201812,1148.51,736,840695.0,98.16,3.0
721,2018101516,dh day-health,X-69,201812,67.79,6038,402214.68,82.93,331.0
731,2018101516,dh day-health,X699,201812,68.0,385,26180.0,81.57,347.0
737,2018101516,dh day-health,充电式导入仪,201812,66.0,2578,170148.0,83.02,327.0
755,2018101516,dimyth,DM-507,201812,9800.0,260,2491626.8,71.01,486.0
770,2018101516,dione/蒂欧尼,T8S,201812,72.21,40498,3449356.28,93.23,129.0
771,2018101516,dpc,DF-1FB,201812,1799.0,639,1149561.0,69.33,491.0
772,2018101516,ett,ES-1021,201812,128.0,238,30464.0,,
779,2018101516,everbab,1,201812,169.51,429,74541.0,68.92,494.0
786,2018101516,everbab,红蓝光LED面罩,201812,199.0,191,36489.0,,
820,2018101516,exideal,EX-280,201812,3665.82,10617,45538949.94,86.4,288.0
828,2018101516,feo,F8,201812,163.2,271,41931.47000000001,82.12,340.0
831,2018101516,fono,001,201812,121.54,700,99744.5,87.58,272.0
855,2018101516,foreo,ESPADA,201812,957.42,1276,1191559.0,88.37,256.0
863,2018101516,foreo,UFO智能面膜仪,201812,1999.0,242,463969.0,,
865,2018101516,future home/未来家,XQP108,201812,753.6,10,7536.0,,
882,2018101516,glm,H-020,201812,475.33,357,739061.11,96.6,36.0
902,2018101516,glm,H-028,201812,2999.0,185,550415.0,94.94,75.0
907,2018101516,glm,SH-308,201812,899.0,121,120164.0,77.11,421.0
916,2018101516,glm,Z-1804,201812,898.23,1244,1202423.0,90.22,214.0
964,2018101516,good wind,ZHF-CM-1-2,201812,313.5,8753,2594774.2700000005,94.98,73.0
1012,2018101516,good wind,ZHF-CM-13-2,201812,389.0,1921,732478.93,96.35,44.0
1060,2018101516,good wind,ZHF-CM-4,201812,359.0,962,339825.0,91.59,186.0
1070,2018101516,good wind,ZHF-CM-5-RF,201812,999.0,151,153549.0,75.31,441.0
1118,2018101516,good wind,ZHF-CM-7-2,201812,544.0,631,241434.0,93.22,130.0
1166,2018101516,good wind,ZHF-CM-9,201812,299.0,427,114790.0,72.84,458.0
1180,2018101516,goodsky,A8,201812,228.0,702,159636.0,79.48,386.0
1193,2018101516,goodsky,S3,201812,798.0,255,222303.0,79.19,391.0
1219,2018101516,goodsky,X6,201812,158.16,60481,10597091.0,92.2,163.0
1227,2018101516,goodsky,X7,201812,128.0,61184,9904356.129999999,93.63,112.0
1234,2018101516,hancutie/韩千金,DRY-001,201812,98.0,33658,4855533.0,89.73,230.0
1250,2018101516,hanil/韩一,GOODSKYX5,201812,45.6,13687,1261373.2000000002,95.47,62.0
1274,2018101516,hanil/韩一,GOODSKYX6,201812,117.6,41728,7416405.42,88.81,250.0
1275,2018101516,henrie/亨利,HL-508,201812,69.0,18,1242.0,42.5,521.0
1277,2018101516,hitachi/日立,CM-N4000/N4800/N5000,201812,1710.0,355,523008.0,73.81,451.0
1299,2018101516,hitachi/日立,CM-N40000,201812,1299.0,7979,12659776.620000001,92.98,139.0
1336,2018101516,hitachi/日立,N4000,201812,1233.98,1539,1916288.83,78.07,412.0
1365,2018101516,hitachi/日立,N4800,201812,1358.94,942,1440132.81,,
1384,2018101516,huas/华氏,H3235,201812,112.07,16071,1872576.4299999997,74.42,447.0
1410,2018101516,huidi,C1-16B,201812,159.0,275,46243.0,88.14,260.0
1435,2018101516,huidi,I3-16B,201812,399.0,584,209684.0,80.43,369.0
1458,2018101516,huidi,Q1-15A,201812,399.0,24,9567.0,72.84,458.0
1459,2018101516,ilift,1108,201812,259.0,118,30562.0,79.41,388.0
1469,2018101516,ilift,IF-1103,201812,999.0,552,514348.0,93.05,136.0
1484,2018101516,ilift,IF-1601,201812,999.0,2353,2425047.0,89.33,240.0
1508,2018101516,iluminage,PILLOWCASE,201812,619.0,1380,675689.0,75.78,435.0
1533,2018101516,imate,M-1500,201812,550.8,2133,1363137.4300000002,81.56,348.0
1540,2018101516,imate,M-3301,201812,310.5,937,253280.39999999997,78.74,394.0
1553,2018101516,imate,M-6900,201812,888.0,1346,1239727.0,89.64,233.0
1556,2018101516,imate,M-8001,201812,199.0,219,35925.0,68.32,503.0
1558,2018101516,imate,小哑铃美容仪-001,201812,129.9,357,46374.3,80.02,379.0
1560,2018101516,imate,面膜导入仪-M-1500,201812,598.0,179,107042.0,72.96,457.0
1564,2018101516,jffang,HTY-022,201812,161.33,1548,247373.30000000002,93.33,122.0
1572,2018101516,jffang,JFF-9901,201812,345.6,5016,1127939.21,94.31,95.0
1578,2018101516,jffang,SRY-001,201812,188.0,262,46356.0,97.96,6.0
1580,2018101516,joyjuly,CM506,201812,876.4,1959,1719052.0,97.11,18.0
1588,2018101516,joyjuly,CM509,201812,368.04,4344,1595332.0,95.39,65.0
1592,2018101516,joyjuly,CM603,201812,228.0,1979,444678.0,96.8,31.0
1600,2018101516,joyjuly,CM708,201812,1298.0,20,25664.0,81.71,345.0
1601,2018101516,joyjuly,CM809,201812,158.0,460,72680.0,90.1,216.0
1606,2018101516,j－shikang/健仕康,JSK-815,201812,298.0,34350,10236300.0,97.48,11.0
1609,2018101516,j－shikang/健仕康,JSK-816,201812,99.0,264,26136.0,79.78,382.0
1632,2018101516,kadas/卡丹斯,KDS-9011,201812,816.0,1816,1596059.29,84.79,306.0
1634,2018101516,keelronl/奇朗,MKY-032,201812,188.0,735,138180.0,92.07,168.0
1641,2018101516,keonbaso/康堡仕,KBS-HZJ01,201812,78.0,64,4992.0,72.84,458.0
1653,2018101516,kft/康服通,KFT-M01,201812,753.6,15064,14678029.05,97.31,14.0
1658,2018101516,kingdom/金稻,KD-036,201812,433.3,9940,3706249.31,98.07,5.0
1685,2018101516,kingdom/金稻,KD-168,201812,305.22,647,171344.0,84.03,316.0
1723,2018101516,kingdom/金稻,KD-188,201812,79.21,4810,431636.5,58.25,512.0
1757,2018101516,kingdom/金稻,KD-3031,201812,59.0,2746,147143.02000000002,76.32,428.0
1803,2018101516,kingdom/金稻,KD-555,201812,68.71,1022,65023.17,84.1,314.0
1819,2018101516,kingdom/金稻,KD-612,201812,215.63,37306,8068111.72,96.31,45.0
1847,2018101516,kingdom/金稻,KD-633,201812,188.08,2708,461417.0,86.14,291.0
1875,2018101516,kingdom/金稻,KD-802,201812,221.69,139050,27161072.770000003,95.26,66.0
1887,2018101516,kingdom/金稻,KD-8023,201812,191.29,50510,8121553.819999999,91.75,177.0
1917,2018101516,kingdom/金稻,KD-8026,201812,262.15,14003,3499821.57,85.43,301.0
1920,2018101516,kingdom/金稻,KD-803,201812,228.64,7999,1828816.73,85.91,294.0
1930,2018101516,kingdom/金稻,KD-8070,201812,182.99,2448,402055.25999999995,92.66,151.0
1955,2018101516,kingdom/金稻,KD-8800,201812,191.37,1131,181782.16,74.15,450.0
1959,2018101516,kingdom/金稻,KD-8900,201812,59.8,51,3049.7999999999997,72.84,458.0
1989,2018101516,kingdom/金稻,KD-8909,201812,34.43,25182,846997.4800000002,93.25,127.0
2017,2018101516,kingdom/金稻,KD-9003,201812,116.3,19127,2616577.4099999997,93.53,116.0
2047,2018101516,kingdom/金稻,KD-9050,201812,29.76,87915,2583396.4699999997,94.63,90.0
2085,2018101516,kingdom/金稻,KD-9060,201812,94.67,2121,167906.0,89.77,227.0
2097,2018101516,kingdom/金稻,KD-9800,201812,203.48,3592,766988.2000000001,91.66,182.0
2109,2018101516,kingdom/金稻,KD-9810,201812,228.66,5468,1137284.0,93.45,120.0
2157,2018101516,kingdom/金稻,KD-9900,201812,291.5,49699,11863104.18,89.94,221.0
2186,2018101516,kingdom/金稻,KD-9901,201812,480.77,5331,2286016.48,81.89,342.0
2190,2018101516,kingdom/金稻,KD-9906,201812,1635.0,222,59744.0,,
2198,2018101516,kingdom/金稻,KD-9930,201812,190.19,64501,13144799.86,96.82,30.0
2202,2018101516,kingdom/金稻,KD-9960,201812,200.25,7166,1429825.97,94.63,91.0
2208,2018101516,kingdom/金稻,KD-9980,201812,179.69,20354,3940575.0,22.12,523.0
2255,2018101516,kingdom/金稻,KD-S611,201812,134.56,160982,22791903.259999998,94.29,96.0
2270,2018101516,kingdom/金稻,KD612M,201812,218.0,1079,252914.82,80.09,371.0
2272,2018101516,kingdom/金稻,KD802-1,201812,760.4,8555,5412479.0,97.75,7.0
2276,2018101516,kingdom/金稻,KD9003S,201812,129.6,5074,627133.6499999999,93.08,134.0
2277,2018101516,kingdom/金稻,QD-628A,201812,218.0,81,17658.0,68.92,494.0
2292,2018101516,kingdom/金稻,TC-04,201812,299.0,566,159926.0,43.41,519.0
2296,2018101516,konka/康佳,KZ-S8,201812,999.0,18,17982.0,72.84,458.0
2304,2018101516,konka/康佳,KZ-Y1,201812,219.0,92,14938.0,,
2307,2018101516,konmison/康美森,LB246,201812,990.0,6,6166.8,,
2328,2018101516,konmison/康美森,SC256,201812,180.0,325,82312.0,72.84,458.0
2340,2018101516,kosiim,CISG-1612,201812,2499.0,314,774461.0,83.6,321.0
2352,2018101516,kosiim,CISG-1701,201812,471.83,1373,828724.9199999999,97.47,13.0
2357,2018101516,kosiim,CISG-1703,201812,1149.0,551,603999.0,,
2360,2018101516,kosiim,大贝  小贝MINI3,201812,958.8,38,42126.2,78.14,404.0
2365,2018101516,kosiim,大贝 MINI贝,201812,977.77,880,997712.62,92.25,162.0
2397,2018101516,kym/康茵美,K1215,201812,680.0,1630,1041126.0,80.49,368.0
2439,2018101516,kym/康茵美,K1262,201812,130.35,153879,29324776.12,97.12,16.0
2448,2018101516,kym/康茵美,K1262-1,201812,198.0,21299,3120100.19,96.58,37.0
2451,2018101516,leamer/领魅,R1,201812,178.0,2335,387560.0,94.52,93.0
2453,2018101516,lescolton,LS-058,201812,858.97,887,665925.0,94.71,85.0
2492,2018101516,lightstim,LS4AMCN,201812,1899.0,5009,10107925.59,61.8,508.0
2531,2018101516,lightstim,LS4W-30-B-CN,201812,1980.0,7410,15282606.879999999,77.82,415.0
2534,2018101516,lmate,PD-20,201812,88.0,216,19008.0,80.09,371.0
2540,2018101516,lmate,SG-9,201812,57.6,3242,160423.2,75.94,432.0
2555,2018101516,magic belle,BS-40,201812,85.43,4280,363718.33,62.37,507.0
2574,2018101516,magic belle,洁面仪,201812,98.0,1295,116933.0,80.09,371.0
2578,2018101516,marasil,EMILY CUTE,201812,681.13,224,150212.0,,
2586,2018101516,marasil,刮痧板,201812,688.36,448,308256.0,74.83,446.0
2599,2018101516,marasil,小海豚,201812,703.01,1235,865511.11,68.92,494.0
2612,2018101516,marco pele/玛可蓓莉,MP4004,201812,148.0,6968,1161552.0,89.75,228.0
2631,2018101516,mdna skin,童颜仪,201812,4830.0,1339,5788216.25,83.93,318.0
2633,2018101516,mgee,10012100,201812,186.0,1039,253860.0,89.79,226.0
2642,2018101516,mieyibor,双头美容仪,201812,225.6,3399,941743.2,91.41,190.0
2661,2018101516,mior,10,201812,288.0,119,37576.5,75.78,435.0
2676,2018101516,mior,F10,201812,350.59,1556,597870.9299999999,96.65,33.0
2680,2018101516,mior,R10,201812,188.0,23619,4979292.0,96.86,29.0
2695,2018101516,mior,R8,201812,158.25,48444,9071865.62,93.88,106.0
2708,2018101516,mior,X,201812,588.0,4584,3752387.34,96.48,39.0
2709,2018101516,mismon,MS-306A,201812,299.0,886,264914.0,94.79,82.0
2712,2018101516,mismon,MS-306C,201812,299.74,3070,918528.0,95.64,59.0
2733,2018101516,mlay,MLAY-RF01,201812,1698.0,342,683620.79,93.32,124.0
2751,2018101516,mlay,S3,201812,833.12,4337,3728577.0,96.57,38.0
2756,2018101516,mrsxie/谢夫人,TC-301,201812,45.0,2096,108109.94,81.37,350.0
2763,2018101516,ms.w,1088,201812,299.0,8114,2426086.0,97.67,10.0
2768,2018101516,ms.w,H1,201812,299.0,1695,456015.0,97.05,22.0
2773,2018101516,ms.w,H309,201812,299.0,522,154878.0,97.1,19.0
2778,2018101516,ms.w,T11,201812,299.0,4604,1324376.2400000002,91.75,176.0
2787,2018101516,myone/美悟,BS-801,201812,99.89,710197,71054583.5,91.02,195.0
2789,2018101516,nanotime/娜蜜丝,F65I,201812,209.0,2921,652699.0,93.43,121.0
2817,2018101516,nanotime/娜蜜丝,F81,201812,2171.44,1474,3526313.2,88.73,251.0
2839,2018101516,nanotime/娜蜜丝,F82,201812,953.4,2985,3781152.0,93.65,110.0
2841,2018101516,nanotime/娜蜜丝,F82+F92A,201812,1199.0,19,22381.0,,
2859,2018101516,nanotime/娜蜜丝,F82C,201812,1186.1,1611,2299293.79,86.85,286.0
2861,2018101516,nanotime/娜蜜丝,F82专供款,201812,1899.0,252,478548.0,71.64,482.0
2879,2018101516,nanotime/娜蜜丝,NANOSKIN-C,201812,1399.0,6466,9255236.18,88.9,246.0
2882,2018101516,nearmy/俪尔美业,20181026,201812,1050.0,90,52536.0,81.2,354.0
2884,2018101516,nearmy/俪尔美业,LE1698,201812,288.0,339,97632.0,80.14,370.0
2886,2018101516,nearmy/俪尔美业,LR20048,201812,420.0,50,21000.0,72.84,458.0
2887,2018101516,neue-li/新佰丽,M5,201812,168.0,1010,169680.0,97.01,23.0
2894,2018101516,neutrogena/露得清,1,201812,148.0,317,54448.6,92.98,138.0
2903,2018101516,neutrogena/露得清,ANCE,201812,129.0,17,2364.0,,
2920,2018101516,neutrogena/露得清,B01HOBW6M,201812,198.0,868,80915.0,79.28,389.0
2926,2018101516,neutrogena/露得清,LIGHT,201812,152.2,2411,442522.54,96.08,50.0
2936,2018101516,neutrogena/露得清,LIGHT MASK,201812,154.8,1963,405536.43,85.77,296.0
2953,2018101516,neutrogena/露得清,LIGHT THERAPY ACNE MASK,201812,167.22,9012,1917208.12,88.87,247.0
2956,2018101516,neutrogena/露得清,MASK,201812,160.8,497,80042.4,85.28,304.0
2958,2018101516,neutrogena/露得清,光能痘痘笔,201812,219.0,134,29306.0,68.92,494.0
2970,2018101516,neutrogena/露得清,控制器,201812,133.72,1665,282273.60000000003,80.09,371.0
2975,2018101516,neutrogena/露得清,破解,201812,33.6,218,7324.599999999999,,
2990,2018101516,neutrogena/露得清,祛痘笔,201812,137.65,1758,254446.36000000002,79.28,389.0
3011,2018101516,neutrogena/露得清,红蓝光LED面罩,201812,420.78,2654,1333391.2899999998,96.02,53.0
3015,2018101516,newa/妞娃,001,201812,815.95,532,901016.6,77.38,418.0
3033,2018101516,newa/妞娃,NEWA,201812,2950.0,869,2374272.69,87.73,268.0
3052,2018101516,newa/妞娃,NEWA+,201812,2770.45,708,1856779.03,72.84,458.0
3069,2018101516,newa/妞娃,NEWA粉色,201812,2190.0,1651,4684284.220000001,81.04,356.0
3080,2018101516,newa/妞娃,NEWA经典款-黑色,201812,3950.0,499,1280000.0,82.97,328.0
3101,2018101516,newa/妞娃,PLUS,201812,2533.28,5996,16070760.620000001,84.25,312.0
3112,2018101516,newa/妞娃,无线PLUS款,201812,3550.0,2886,8770778.41,74.91,445.0
3121,2018101516,newa/妞娃,薰衣草紫,201812,3550.0,575,1004448.0,92.35,157.0
3155,2018101516,nms/纳美丝,NV-17,201812,144.0,1558,358177.36,94.72,84.0
3177,2018101516,notime,SKB-1203,201812,2596.39,15255,23801565.0,91.5,188.0
3201,2018101516,notime,SKB-1209-2,201812,214.0,344228,74738442.25,92.14,164.0
3212,2018101516,notime,SKB-1518-1,201812,399.0,19315,8404244.0,88.99,244.0
3229,2018101516,notime,SKB-1601,201812,179.74,77718,14591132.0,88.01,262.0
3235,2018101516,nowmi,维C补充装,201812,1088.0,260,273740.0,80.64,366.0
3242,2018101516,nuface,GEL,201812,180.0,1725,365418.44,,
3290,2018101516,nuface,MINI,201812,1211.16,2200,2429619.03,88.37,256.0
3310,2018101516,nuface,MINI WHITE,201812,1699.0,10955,17817439.38,87.13,282.0
3318,2018101516,nuface,NUBODY,201812,3887.57,358,1128510.0,87.37,278.0
3366,2018101516,nuface,TRINITY,201812,1163.04,17968,34723407.7,96.23,47.0
3399,2018101516,nuface,TRINITY /MINI,201812,1142.05,2210,2639036.76,97.7,9.0
3419,2018101516,nuface,TRINITY ELE 套装,201812,4299.0,849,3487430.9299999997,81.38,349.0
3452,2018101516,nuface,TRINITY MINI,201812,174.95,28493,40373888.620000005,89.2,241.0
3479,2018101516,nuface,TRINITY 三合一套装,201812,5499.0,893,4736701.15,82.97,328.0
3498,2018101516,nuface,TRINITY 粉色,201812,2799.0,5771,18097332.13,85.77,297.0
3543,2018101516,nuface,TRINITYPRO,201812,1941.45,1436,2756903.4299999997,95.98,55.0
3553,2018101516,nuface,TRINITY套装,201812,5499.0,1033,4404845.0,91.33,194.0
3563,2018101516,nuface,白色MINI,201812,1899.0,1114,1928686.0,96.93,26.0
3564,2018101516,oebayter/欧倍特,OBT001,201812,128.0,29,3712.0,68.92,494.0
3565,2018101516,oebayter/欧倍特,OBT002,201812,199.0,26,5174.0,76.7,426.0
3566,2018101516,oebayter/欧倍特,OTB010,201812,399.0,25,9975.0,81.3,352.0
3574,2018101516,oes,M6900,201812,888.0,598,433288.0,86.9,283.0
3581,2018101516,oes,磁力导入仪,201812,132.9,37612,4685002.01,79.77,383.0
3589,2018101516,olay/玉兰油,小哑铃7000,201812,510.43,163,83218.0,,
3604,2018101516,omega injection,1,201812,1130.67,1003,1228107.1,76.02,431.0
3610,2018101516,omega injection,111,201812,1280.0,277,341891.88,87.35,279.0
3618,2018101516,omega injection,888,201812,624.0,251,134264.0,90.06,218.0
3625,2018101516,omega injection,END-300,201812,1273.81,1197,1408969.5,74.27,448.0
3631,2018101516,omega injection,XW-01A,201812,1280.0,72,84560.0,,
3637,2018101516,omega injection,无痛水光仪,201812,1280.0,218,276776.95999999996,72.84,458.0
3645,2018101516,omega injection,注氧仪,201812,1199.28,14040,16372937.0,89.73,231.0
3646,2018101516,ourusa/欧瑞莎,N509,201812,513.6,132,67795.2,93.2,132.0
3662,2018101516,pampas/潘帕斯,NT-517,201812,70.98,196177,13398056.180000002,90.44,209.0
3664,2018101516,pampas/潘帕斯,NT-521,201812,83.88,5977,523118.6,86.89,285.0
3694,2018101516,panasonic/松下,EH-ST63-P,201812,986.04,3781,4259120.07,90.88,200.0
3714,2018101516,panasonic/松下,ST75,201812,1535.53,2209,3720649.58,92.41,156.0
3715,2018101516,paoli/宝利,PL-698,201812,69.0,255,17595.0,80.85,361.0
3761,2018101516,philips/飞利浦,BSC200,201812,599.45,13857,8576167.000000002,93.2,131.0
3807,2018101516,philips/飞利浦,MS5030,201812,609.0,2771,2123814.7,61.8,508.0
3848,2018101516,philips/飞利浦,SC5360,201812,1896.6,21790,37045980.91,90.98,197.0
3876,2018101516,philips/飞利浦,SC5370,201812,1388.0,758,1111446.34,88.37,256.0
3917,2018101516,pmd,ADURO 7+1,201812,1988.0,359,666301.67,77.77,416.0
3930,2018101516,pmd,PMA,201812,199.0,288,109089.0,96.02,52.0
3940,2018101516,pmd,钻石微晶磨皮仪,201812,230.07,166,166390.0,83.1,326.0
3955,2018101516,poya,5.2L,201812,1108.43,86,167865.24,80.62,367.0
