,cid,cidname,brand,model,funcid,target,target_ratings,target_rank,target_pos,target_neu,target_neg,target_total,target_rate,target_rate_rank
736,2019070912,果冻/布丁,chacheer/洽洽,儿童挤食果冻,3444,味道,91.95,75,81,0,3,84,0.9642857142857143,70
585,2019070912,果冻/布丁,良品铺子,椰果布丁720G,3443,包装,94.98,46,459,0,17,476,0.9642857142857143,86
186,2019070912,果冻/布丁,otaku/御宅女,酵素果,3446,口感,86.73,61,27,0,1,28,0.9642857142857143,53
637,2019070912,果冻/布丁,petitzel,果冻草莓90,3444,味道,87.58,117,27,0,1,28,0.9642857142857143,71
314,2019070912,果冻/布丁,姿然美,酵素果冻,3448,功能,93.03,52,54,1,1,56,0.9642857142857143,52
925,2019070912,果冻/布丁,乖乖瘦,益生菌果冻,3443,包装,96.84,25,214,5,3,222,0.963963963963964,87
689,2019070912,果冻/布丁,three squirrels/三只松鼠,牛奶冻,3456,零食,97.93,2,107,4,0,111,0.963963963963964,6
210,2019070912,果冻/布丁,乖乖瘦,1盒蓝莓果冻,3448,功能,95.12,37,547,1,20,568,0.9630281690140845,53
699,2019070912,果冻/布丁,存臻,综合果蔬,3444,味道,86.99,128,26,0,1,27,0.9629629629629629,72
707,2019070912,果冻/布丁,喜之郎,果冻360G,3456,零食,86.36,8,26,0,1,27,0.9629629629629629,7
765,2019070912,果冻/布丁,安之若素,洛神花果冻,3444,味道,86.75,131,26,0,1,27,0.9629629629629629,73
62,2019070912,果冻/布丁,喜之郎,蜜桔果肉果冻散称500G,3444,味道,85.86,140,26,0,1,27,0.9629629629629629,74
940,2019070912,果冻/布丁,林锦记,海盐果冻4枚,3443,包装,92.71,72,52,1,1,54,0.9629629629629629,88
341,2019070912,果冻/布丁,metabolic,酵素酵母果冻,3445,质量,92.08,85,26,1,0,27,0.9629629629629629,109
948,2019070912,果冻/布丁,喜之郎,网红抖音款,3447,性价比,92.03,43,26,1,0,27,0.9629629629629629,14
421,2019070912,果冻/布丁,卓宜,酵素果冻,3444,味道,92.03,72,26,1,0,27,0.9629629629629629,75
184,2019070912,果冻/布丁,otaku/御宅女,酵素果,3444,味道,93.98,50,128,1,4,133,0.9624060150375939,76
487,2019070912,果冻/布丁,喜之郎,果冻200G*10,3443,包装,95.61,41,817,4,28,849,0.9623085983510011,89
697,2019070912,果冻/布丁,苏晴子,CM7005,3448,功能,95.16,36,633,1,24,658,0.9620060790273556,54
869,2019070912,果冻/布丁,秀尔魅,酵素果冻蓝莓味道,3444,味道,95.66,38,329,4,9,342,0.9619883040935673,77
947,2019070912,果冻/布丁,喜之郎,网红抖音款,3445,质量,85.96,121,25,0,1,26,0.9615384615384616,110
937,2019070912,果冻/布丁,xtaml,玫瑰果冻,3448,功能,89.81,67,50,0,2,52,0.9615384615384616,55
863,2019070912,果冻/布丁,holiland/好利来,白桃果冻,3445,质量,89.68,112,49,0,2,51,0.9607843137254902,111
682,2019070912,果冻/布丁,良品铺子,日式纸袋果冻,3456,零食,92.24,6,49,1,1,51,0.9607843137254902,8
473,2019070912,果冻/布丁,优洽,SOSO果冻,3444,味道,95.7,37,606,6,19,631,0.9603803486529319,78
655,2019070912,果冻/布丁,徐福记,C的酷,3446,口感,85.07,66,24,0,1,25,0.96,54
240,2019070912,果冻/布丁,初萌,初萌酵素果冻A,3446,口感,85.36,65,24,0,1,25,0.96,55
826,2019070912,果冻/布丁,lium/溜溜梅,冻心装,3443,包装,89.87,100,24,1,0,25,0.96,90
317,2019070912,果冻/布丁,expressions,蓝莓酵素果冻条,3443,包装,92.52,77,118,0,5,123,0.959349593495935,91
770,2019070912,果冻/布丁,菲诺,YZD02,3445,质量,93.08,76,165,0,7,172,0.9593023255813954,112
451,2019070912,果冻/布丁,旺旺,茶咖冻 132G 茶味,3444,味道,92.09,71,47,1,1,49,0.9591836734693877,79
784,2019070912,果冻/布丁,喜之郎,什锦果肉果冻200G,3444,味道,93.91,51,185,1,7,193,0.9585492227979274,80
490,2019070912,果冻/布丁,喜之郎,果冻200G*10,3446,口感,84.9,68,23,0,1,24,0.9583333333333334,56
233,2019070912,果冻/布丁,净尔氏,海藻冻,3448,功能,84.9,72,23,0,1,24,0.9583333333333334,56
590,2019070912,果冻/布丁,良品铺子,椰果布丁720G,3453,果肉,84.9,5,23,0,1,24,0.9583333333333334,3
57,2019070912,果冻/布丁,酷语,酵素,3446,口感,84.9,67,23,0,1,24,0.9583333333333334,57
102,2019070912,果冻/布丁,爽露爽,米酒布丁,3444,味道,84.7,148,23,0,1,24,0.9583333333333334,81
851,2019070912,果冻/布丁,樱桃小丸子,鸡蛋布丁果冻,3444,味道,88.96,104,46,0,2,48,0.9583333333333334,82
246,2019070912,果冻/布丁,三叔公,果冻布丁,3443,包装,84.8,129,23,0,1,24,0.9583333333333334,92
145,2019070912,果冻/布丁,slim waist/小纤腰,酵素果冻系列,3444,味道,84.9,147,23,0,1,24,0.9583333333333334,83
434,2019070912,果冻/布丁,华元,500,3444,味道,91.7,80,45,1,1,47,0.9574468085106383,84
11,2019070912,果冻/布丁,平野,芝士味/焦糖味布丁,3443,包装,92.56,76,88,1,3,92,0.9565217391304348,93
7,2019070912,果冻/布丁,喜之郎,蜜桔果肉果冻990G*2袋,3455,分量,85.08,9,22,0,1,23,0.9565217391304348,4
264,2019070912,果冻/布丁,徐福记,小叭叭C的酷/益起C,3444,味道,81.69,175,22,0,1,23,0.9565217391304348,85
232,2019070912,果冻/布丁,盛香珍,优酪果园,3456,零食,84.31,10,22,0,1,23,0.9565217391304348,9
202,2019070912,果冻/布丁,生和堂,雪梨枇杷膏,3454,外观,87.4,12,44,0,2,46,0.9565217391304348,2
561,2019070912,果冻/布丁,果延嗖,果延嗖酵素果冻,3445,质量,84.31,125,22,0,1,23,0.9565217391304348,113
340,2019070912,果冻/布丁,metabolic,酵素酵母果冻,3444,味道,90.19,93,65,0,3,68,0.9558823529411765,86
90,2019070912,果冻/布丁,麦心诺,明星款果冻,3447,性价比,96.88,9,172,6,2,180,0.9555555555555556,15
164,2019070912,果冻/布丁,妖秀,酵素果冻01,3443,包装,88.38,110,43,0,2,45,0.9555555555555556,94
905,2019070912,果冻/布丁,喜之郎,什锦果冻360G*2袋 乳酸味儿童布丁零食小吃休闲食品大礼包,3447,性价比,90.52,52,43,1,1,45,0.9555555555555556,16
809,2019070912,果冻/布丁,call me queen/叫我女王,洛神花果冻,3451,排毒效果,88.42,6,43,0,2,45,0.9555555555555556,4
190,2019070912,果冻/布丁,clever mama/巧妈妈,乳酸菌布丁,3443,包装,93.26,67,171,1,7,179,0.9553072625698324,95
75,2019070912,果冻/布丁,clever mama/巧妈妈,鸡蛋布甸实惠装750G,3443,包装,93.44,62,318,0,15,333,0.954954954954955,96
860,2019070912,果冻/布丁,喜之郎,散装果冻,3455,分量,83.66,10,21,0,1,22,0.9545454545454546,5
935,2019070912,果冻/布丁,xtaml,玫瑰果冻,3444,味道,89.86,96,63,0,3,66,0.9545454545454546,87
604,2019070912,果冻/布丁,樱花泗,酵素果冻,3448,功能,87.95,71,42,0,2,44,0.9545454545454546,57
573,2019070912,果冻/布丁,cozzo/高柔,综合果味条形果冻,3443,包装,83.43,137,21,0,1,22,0.9545454545454546,97
393,2019070912,果冻/布丁,flower gear/花齿轮,花齿轮魔芋花派3口味,3443,包装,82.68,144,21,0,1,22,0.9545454545454546,98
106,2019070912,果冻/布丁,yutior,新品臻纤果吸,3443,包装,83.66,134,21,0,1,22,0.9545454545454546,99
241,2019070912,果冻/布丁,初萌,初萌酵素果冻A,3448,功能,90.16,65,63,0,3,66,0.9545454545454546,58
674,2019070912,果冻/布丁,良品铺子,日式纸袋果冻,3443,包装,94.89,47,519,5,20,544,0.9540441176470589,100
846,2019070912,果冻/布丁,达心堂,酵素果冻,3444,味道,91.7,79,62,1,2,65,0.9538461538461539,88
724,2019070912,果冻/布丁,网易严选,1108028,3446,口感,87.77,58,41,0,2,43,0.9534883720930233,58
