,cid,cidname,brand,model,funcid,target,target_ratings,target_rank,target_pos,target_neu,target_neg,target_total,target_rate,target_rate_rank
123,2019091609,智能门锁,佰飞特,8065,3509,灵敏度,92.83,81,30,0,0,30,1.0,1
122,2019091609,智能门锁,佰飞特,8065,3505,开锁体验,92.83,81,30,0,0,30,1.0,1
1593,2019091609,智能门锁,keylock/第吉尔,6600-92触摸屏,3503,性价比,94.57,87,39,0,0,39,1.0,1
2126,2019091609,智能门锁,康利,1812,3500,质量,94.44,149,46,0,0,46,1.0,1
367,2019091609,智能门锁,tenon/亚太天能,A2W,3503,性价比,94.44,89,38,0,0,38,1.0,2
1769,2019091609,智能门锁,古德莱,M10,3509,灵敏度,94.34,63,38,0,0,38,1.0,2
642,2019091609,智能门锁,yonglei optica/永磊光电,Y1,3503,性价比,94.15,92,36,0,0,36,1.0,3
2178,2019091609,智能门锁,赢领,P8,3500,质量,93.82,157,34,0,0,34,1.0,2
1614,2019091609,智能门锁,dessmann/德施曼,V5,3503,性价比,97.52,49,88,0,0,88,1.0,4
1744,2019091609,智能门锁,玥玛安防,FP-Y8,3503,性价比,93.35,100,38,0,0,38,1.0,5
1746,2019091609,智能门锁,玥玛安防,FP-Y8,3509,灵敏度,93.35,74,38,0,0,38,1.0,3
2282,2019091609,智能门锁,kob,100,3500,质量,93.31,167,34,0,0,34,1.0,3
1952,2019091609,智能门锁,雅浩,K9,3509,灵敏度,93.19,75,32,0,0,32,1.0,4
1950,2019091609,智能门锁,雅浩,K9,3505,开锁体验,93.19,75,34,0,0,34,1.0,2
371,2019091609,智能门锁,tenon/亚太天能,A2W,3509,灵敏度,93.06,78,30,0,0,30,1.0,5
369,2019091609,智能门锁,tenon/亚太天能,A2W,3505,开锁体验,93.06,78,32,0,0,32,1.0,3
3,2019091609,智能门锁,智门星,玻璃门指纹锁双开门密码锁,3503,性价比,93.04,102,32,0,0,32,1.0,6
1502,2019091609,智能门锁,蒂丰德,Q1,3500,质量,94.58,146,46,0,0,46,1.0,4
1105,2019091609,智能门锁,kingku/劲固,K28,3503,性价比,94.86,85,42,0,0,42,1.0,7
