,cid,brand,model,datamonth,price,biz30day,total_sold_price,model_ratings,model_rank
14,2019090610,蒂彤,M19,201908,1438.8,38201,53034146.41,92.69,46.0
34,2019090610,蒂彤,M36S,201908,1949.0,1573,2801515.68,87.07,163.0
40,2019090610,蒂彤,M38,201908,2449.0,457,1116073.0,78.03,325.0
45,2019090610,蒂彤,T 6,201908,1600.67,15683,26120770.5,92.8,44.0
66,2019090610,蓝旭,T1,201908,289.03,137,39421.18,88.09,146.0
93,2019090610,acer/宏碁,H6512BD,201908,4945.67,583,3029437.96,73.25,372.0
97,2019090610,acer/宏碁,H7530D,201908,2899.0,24,73076.0,69.16,405.0
133,2019090610,acer/宏碁,H7550ST,201908,7109.0,194,1588463.68,66.9,416.0
155,2019090610,acer/宏碁,H7850,201908,12952.33,155,2246605.0,78.65,313.0
174,2019090610,acer/宏碁,HE-801K,201908,4008.8,1121,4701145.789999999,81.04,279.0
185,2019090610,acer/宏碁,V6820M,201908,9350.8,26,178331.8,69.9,399.0
191,2019090610,acer/宏碁,V7500+,201908,5027.89,77,398293.0,76.9,341.0
211,2019090610,acer/宏碁,X118H,201908,2268.68,2718,6668832.540000001,82.55,255.0
215,2019090610,acer/宏碁,X1225I,201908,3659.0,185,653315.0,82.68,252.0
238,2019090610,acer/宏碁,X127H,201908,2599.0,102,267956.0,90.37,99.0
258,2019090610,acer/宏碁,X128H,201908,2729.26,2236,6402796.19,82.17,260.0
262,2019090610,acer/宏碁,X1325WI,201908,4039.0,34,137326.0,66.6,418.0
278,2019090610,acer/宏碁,X138WH,201908,3146.06,1457,4993183.739999999,82.09,264.0
318,2019090610,acer/宏碁,Z650,201908,7609.0,27,240705.71,66.79,417.0
323,2019090610,aet,M2,201908,346.8,1414,571471.59,83.74,229.0
328,2019090610,aet,M2同屏,201908,959.0,355,280065.0,78.53,316.0
333,2019090610,aet,M3,201908,442.8,455,214002.0,83.73,230.0
338,2019090610,aet,S3,201908,718.7,92,53277.299999999996,75.65,352.0
343,2019090610,aet,Z1,201908,649.0,1926,1280959.4100000001,85.33,194.0
348,2019090610,aet,Z1多媒体,201908,815.67,1469,1228166.8,82.11,261.0
361,2019090610,aodian/澳典,M 19,201908,1455.57,28554,37119621.269999996,95.76,6.0
387,2019090610,aodian/澳典,M18,201908,2579.0,182,571214.0,76.52,344.0
400,2019090610,aodian/澳典,M6,201908,1399.0,77,105016.33,73.8,368.0
426,2019090610,aodian/澳典,M6=,201908,1599.0,111,182589.0,58.63,430.0
439,2019090610,aodian/澳典,M8,201908,1449.0,106,189556.72999999998,74.93,357.0
460,2019090610,aodian/澳典,T13,201908,1699.0,517,960483.0,84.25,218.0
473,2019090610,aodian/澳典,T13S,201908,1799.0,171,314568.6,80.39,287.0
493,2019090610,benq/明基,BH5080,201908,5378.76,110,591784.64,76.03,348.0
538,2019090610,benq/明基,BS3030,201908,2456.83,15468,40012418.71,83.93,224.0
566,2019090610,benq/明基,BS5050,201908,2484.03,7743,20814919.18,91.51,71.0
592,2019090610,benq/明基,E0433,201908,3673.95,246,935728.7,72.84,376.0
605,2019090610,benq/明基,E1443,201908,4162.25,482,1908052.09,83.31,242.0
613,2019090610,benq/明基,E3378,201908,2859.32,1519,4289094.02,77.36,335.0
651,2019090610,benq/明基,E500,201908,4010.03,4615,19338115.83,88.38,138.0
683,2019090610,benq/明基,E560,201908,5145.67,215,1083164.49,80.47,286.0
703,2019090610,benq/明基,E580,201908,7061.98,377,2609152.9699999997,75.72,351.0
731,2019090610,benq/明基,ES6540,201908,2628.65,15792,42177011.550000004,88.56,133.0
781,2019090610,benq/明基,ES7539,201908,3136.39,1254,4264677.499999997,77.56,332.0
807,2019090610,benq/明基,EX6550,201908,3446.19,2351,7811120.509999999,85.19,196.0
840,2019090610,benq/明基,GS1,201908,4999.0,1264,6258558.0,77.7,330.0
848,2019090610,benq/明基,I706,201908,7380.4,96,582562.3999999999,79.03,306.0
855,2019090610,benq/明基,I707,201908,6959.19,277,1881514.9000000001,75.5,354.0
893,2019090610,benq/明基,I720,201908,5899.0,2279,14303596.69,80.62,283.0
898,2019090610,benq/明基,LX810STD,201908,6341.8,52,282966.5,87.8,155.0
924,2019090610,benq/明基,MH534,201908,4403.58,149,755256.03,70.06,398.0
980,2019090610,benq/明基,MS3081,201908,2334.67,416,1001836.23,92.35,56.0
1031,2019090610,benq/明基,MS506,201908,2484.56,1298,2870861.96,81.68,272.0
1057,2019090610,benq/明基,MS521H,201908,2685.67,949,2653554.7699999996,86.3,182.0
1101,2019090610,benq/明基,MS527,201908,2461.99,11306,28317531.979999997,91.6,69.0
1128,2019090610,benq/明基,MS531,201908,2511.5,116,295373.62,68.0,412.0
1173,2019090610,benq/明基,MS630ST,201908,3431.24,486,1591396.2899999993,84.05,220.0
1201,2019090610,benq/明基,MW529,201908,3675.15,422,1496316.2100000002,76.79,342.0
1241,2019090610,benq/明基,MW632ST,201908,4358.02,76,334625.83,70.84,392.0
1291,2019090610,benq/明基,MX507,201908,2935.67,115,328678.29000000004,96.99,1.0
1316,2019090610,benq/明基,MX522H,201908,3288.69,1313,4306334.01,84.67,207.0
1358,2019090610,benq/明基,MX528,201908,3420.78,1714,5524296.969999998,85.08,199.0
1385,2019090610,benq/明基,MX532P,201908,3412.33,376,1285247.29,83.13,247.0
1393,2019090610,benq/明基,RN0433,201908,2991.63,172,373280.60000000003,84.63,208.0
1407,2019090610,benq/明基,RS3355,201908,2878.0,171,446425.23999999993,87.98,149.0
1424,2019090610,benq/明基,RX3356,201908,3425.0,1183,3922018.8200000003,86.91,168.0
1461,2019090610,benq/明基,TH683,201908,5402.33,109,599637.3200000001,87.69,156.0
1467,2019090610,benq/明基,TK800M,201908,8576.92,151,1308936.11,74.65,360.0
1491,2019090610,benq/明基,W1120,201908,5427.8,1989,10985076.299999999,83.75,228.0
1539,2019090610,benq/明基,W2000,201908,5839.0,283,2175667.0,72.88,374.0
1569,2019090610,benq/明基,W2000+,201908,7799.0,100,808354.0,72.28,386.0
1578,2019090610,bondlong/邦德龙,1,201908,248.04,85,21083.4,72.84,376.0
1625,2019090610,coolux/酷乐视,Q6精英版,201908,856.74,10929,11446902.750000002,88.17,144.0
1654,2019090610,coolux/酷乐视,Q7旗舰版,201908,2518.8,6347,10284374.780000005,88.61,131.0
1674,2019090610,coolux/酷乐视,R4,201908,2258.95,13854,44184567.29,93.68,32.0
1693,2019090610,coolux/酷乐视,R4/R4S,201908,3598.8,119,447042.4,70.48,394.0
1703,2019090610,coolux/酷乐视,R4MINI,201908,1764.0,82,148451.14,84.47,212.0
1720,2019090610,coolux/酷乐视,R4风尚,201908,1559.94,7322,12852798.379999999,92.82,43.0
1757,2019090610,coolux/酷乐视,S3PRO,201908,3031.5,74,228799.99000000002,68.07,411.0
1769,2019090610,coolux/酷乐视,V107,201908,1240.59,29266,41786516.63,94.01,26.0
1780,2019090610,coolux/酷乐视,V315,201908,1438.57,6235,12589875.220000003,88.38,139.0
1789,2019090610,coolux/酷乐视,V501,201908,1111.7,4436,4682861.79,88.76,126.0
1797,2019090610,coolux/酷乐视,V501-1,201908,1283.15,4763,4244631.51,83.81,227.0
1836,2019090610,coolux/酷乐视,X6S,201908,1293.82,2045,5819351.43,77.19,337.0
1848,2019090610,coolux/酷乐视,Z6,201908,2512.9,473,746237.11,87.68,157.0
1863,2019090610,coolux/酷乐视,风尚,201908,3598.8,80,303597.19999999995,69.44,402.0
1864,2019090610,d·m,Z3,201908,899.0,608,546592.0,91.18,85.0
1870,2019090610,epson/爱普生,6300,201908,600.0,124,89040.0,83.66,233.0
1881,2019090610,epson/爱普生,CB-1795F,201908,5419.4,19,108585.40000000001,72.84,376.0
1903,2019090610,epson/爱普生,CB-S05,201908,2683.81,7538,20353299.21,88.86,123.0
1926,2019090610,epson/爱普生,CB-S05E,201908,2718.86,20146,46629991.7,91.78,67.0
1949,2019090610,epson/爱普生,CB-U05,201908,6086.77,708,4402058.890000001,84.96,203.0
