,cid,cidname,brand,model,funcid,target,target_ratings,target_rank,target_pos,target_neu,target_neg,target_total,target_rate,target_rate_rank
77,2018112614,家用工具组套,科麦斯,王者电钻工具组合套装,3433,外观,99.63,1,613,0,0,613,1.0,1
286,2018112614,家用工具组套,fogo/富格,GJTZ1001,3427,性价比,97.04,24,77,0,0,77,1.0,1
253,2018112614,家用工具组套,亚得力,超强铝头电钻套装,3428,功能,95.12,7,44,0,0,44,1.0,1
259,2018112614,家用工具组套,亚得力,超强铝头电钻套装,3437,性能,90.07,3,4,0,0,4,1.0,1
260,2018112614,家用工具组套,亚得力,超强铝头电钻套装,3438,劲力,90.07,3,21,0,0,21,1.0,1
301,2018112614,家用工具组套,哲登,ZD-068,3432,做工,89.87,17,24,0,0,24,1.0,1
22,2018112614,家用工具组套,晶思达,JSDGJX,3430,品类,95.44,10,50,0,0,50,1.0,1
300,2018112614,家用工具组套,哲登,ZD-068,3427,性价比,95.54,34,58,0,0,58,1.0,2
278,2018112614,家用工具组套,哲登,ZD-061,3429,款式,95.64,19,97,0,0,97,1.0,1
349,2018112614,家用工具组套,fogo/富格,AA,3428,功能,89.6,17,21,0,0,21,1.0,2
255,2018112614,家用工具组套,亚得力,超强铝头电钻套装,3430,品类,95.8,9,51,0,0,51,1.0,2
281,2018112614,家用工具组套,哲登,ZD-061,3433,外观,95.9,21,56,0,0,56,1.0,2
138,2018112614,家用工具组套,艾瑞泽,ZHTZ,3427,性价比,95.94,29,53,0,0,53,1.0,3
96,2018112614,家用工具组套,佛兰仕,锂电组套0,3433,外观,96.08,20,59,0,0,59,1.0,3
94,2018112614,家用工具组套,佛兰仕,锂电组套0,3429,款式,96.08,17,64,0,0,64,1.0,2
104,2018112614,家用工具组套,芝浦,锂电钻+工具套装,3433,外观,96.09,19,55,0,0,55,1.0,4
193,2018112614,家用工具组套,科麦斯,专业百样工具组合套装,3430,品类,96.09,8,55,0,0,55,1.0,3
62,2018112614,家用工具组套,久克,LSXK-JK60-70,3426,质量,96.23,8,69,0,0,69,1.0,1
35,2018112614,家用工具组套,闽豹,手动家用工具套装,3430,品类,96.4,7,60,0,0,60,1.0,4
264,2018112614,家用工具组套,捷顺,组合工具套装,3430,品类,92.25,15,27,0,0,27,1.0,5
254,2018112614,家用工具组套,亚得力,超强铝头电钻套装,3429,款式,96.49,12,151,0,0,151,1.0,3
305,2018112614,家用工具组套,木子,工具箱组套,3429,款式,96.55,10,136,0,0,136,1.0,4
309,2018112614,家用工具组套,木子,工具箱组套,3433,外观,96.67,17,65,0,0,65,1.0,5
115,2018112614,家用工具组套,卡瓦尼,套装,3437,性能,85.45,5,8,0,0,8,1.0,2
258,2018112614,家用工具组套,亚得力,超强铝头电钻套装,3433,外观,96.8,16,68,0,0,68,1.0,6
59,2018112614,家用工具组套,戈麦斯,MT,3429,款式,96.88,9,102,0,0,102,1.0,5
61,2018112614,家用工具组套,戈麦斯,MT,3433,外观,96.88,15,84,0,0,84,1.0,7
329,2018112614,家用工具组套,佛兰仕,工具箱套装-001,3433,外观,95.1,22,45,0,0,45,1.0,8
307,2018112614,家用工具组套,木子,工具箱组套,3431,材质,95.05,2,43,0,0,43,1.0,1
64,2018112614,家用工具组套,久克,LSXK-JK60-70,3432,做工,90.23,15,25,0,0,25,1.0,2
284,2018112614,家用工具组套,hold,HY-N,3427,性价比,93.5,47,36,0,0,36,1.0,4
279,2018112614,家用工具组套,哲登,ZD-061,3431,材质,92.36,4,30,0,0,30,1.0,2
112,2018112614,家用工具组套,卡瓦尼,套装,3431,材质,92.08,5,26,0,0,26,1.0,3
198,2018112614,家用工具组套,ak,E082,3428,功能,92.6,12,28,0,0,28,1.0,3
256,2018112614,家用工具组套,亚得力,超强铝头电钻套装,3431,材质,92.67,3,29,0,0,29,1.0,4
342,2018112614,家用工具组套,闽豹,家用工具套装,3433,外观,92.84,24,29,0,0,29,1.0,9
123,2018112614,家用工具组套,科麦斯,工具箱套装,3430,品类,91.73,16,30,0,0,30,1.0,6
243,2018112614,家用工具组套,戈麦斯,锂电钻工具套装,3439,扭矩,93.06,3,30,0,0,30,1.0,1
306,2018112614,家用工具组套,木子,工具箱组套,3430,品类,91.47,17,24,0,0,24,1.0,7
55,2018112614,家用工具组套,dpei/赣春,锂电钻工具套装,3427,性价比,91.41,55,24,0,0,24,1.0,5
130,2018112614,家用工具组套,科麦斯,超强动力冲击钻工具组合套装,3430,品类,93.26,13,32,0,0,32,1.0,8
250,2018112614,家用工具组套,戈麦斯,TYK,3439,扭矩,93.46,2,32,0,0,32,1.0,2
63,2018112614,家用工具组套,久克,LSXK-JK60-70,3427,性价比,93.51,46,39,0,0,39,1.0,6
200,2018112614,家用工具组套,ak,E082,3430,品类,94.82,11,41,0,0,41,1.0,9
