,cid,cidname,brand,model,datamonth,price,biz30day,biz30day_rank,total_sold_price,total_sold_price_rank,model_ratings,model_rank,model_pos,model_neu,model_neg,model_total,model_rate,model_rate_rank
24,2018112614,家用工具组套,久克,LSXK-JK60-70,201909,35.15,988,71,34731.98,71,95.62,10.0,155,0,0,155,1.0,1
38,2018112614,家用工具组套,哲登,ZD-068,201909,22.68,2070,62,46947.6,70,94.78,13.0,156,0,0,156,1.0,2
35,2018112614,家用工具组套,卡瓦尼,套装,201909,161.89,5922,45,1077500.91,39,98.47,1.0,2328,1,13,2342,0.9940222032450897,3
3,2018112614,家用工具组套,crest/瑞德,电钻套装,201909,129.6,267,74,34603.2,72,96.34,8.0,149,1,0,150,0.9933333333333333,4
28,2018112614,家用工具组套,亚得力,超强铝头电钻套装,201909,286.8,4807,48,1394215.84,35,98.25,2.0,1538,4,10,1552,0.990979381443299,5
10,2018112614,家用工具组套,hold,HY-N,201909,23.88,444,73,11286.72,74,91.59,22.0,92,0,1,93,0.989247311827957,6
46,2018112614,家用工具组套,木子,工具箱组套,201909,18.96,3490,55,85282.17000000003,69,97.92,3.0,1262,2,12,1276,0.9890282131661442,7
37,2018112614,家用工具组套,哲登,ZD-061,201909,17.76,1715,65,30458.4,73,96.56,6.0,693,5,4,702,0.9871794871794872,8
34,2018112614,家用工具组套,卡夫威尔,H1041A,201909,57.6,6274,43,149137.19999999998,65,91.59,21.0,59,0,1,60,0.9833333333333333,9
40,2018112614,家用工具组套,戈麦斯,TYK,201909,167.19,8161,40,1363724.19,36,96.38,7.0,1521,1,26,1548,0.9825581395348837,10
42,2018112614,家用工具组套,戈麦斯,锂电钻工具套装,201909,174.0,15086,35,2705809.37,25,97.11,5.0,2177,4,38,2219,0.9810725552050473,11
31,2018112614,家用工具组套,佛兰仕,工具箱套装-001,201909,314.1,1048,69,326332.19999999995,57,90.58,26.0,244,0,5,249,0.9799196787148594,12
41,2018112614,家用工具组套,戈麦斯,TYK-01,201909,154.8,17940,31,2777111.99,23,95.28,12.0,2643,1,70,2714,0.9738393515106853,13
39,2018112614,家用工具组套,戈麦斯,MT,201909,148.51,2525,59,375239.28,56,97.5,4.0,738,8,12,758,0.9736147757255936,14
23,2018112614,家用工具组套,久克,LSJY-70,201909,42.81,3797,52,210319.51,62,93.08,16.0,208,0,6,214,0.9719626168224299,15
68,2018112614,家用工具组套,ak,家装组套,201909,141.6,38557,20,10081261.81,10,96.21,9.0,4180,9,119,4308,0.9702878365831012,16
51,2018112614,家用工具组套,科麦斯,工具箱套装,201909,21.48,19876,28,427034.77,54,95.36,11.0,1631,4,53,1688,0.9662322274881516,17
72,2018112614,家用工具组套,dpei/赣春,GC16/68,201909,70.7,9247,39,712691.9600000002,47,92.95,17.0,222,1,7,230,0.9652173913043478,18
0,2018112614,家用工具组套,apollo/希孟,DT0773N1,201909,34.8,5451,46,525054.3799999999,51,91.67,20.0,220,0,9,229,0.9606986899563319,19
61,2018112614,家用工具组套,艾瑞泽,ZHTZ,201909,31.78,2617,57,136039.21,67,88.96,31.0,144,0,6,150,0.96,20
17,2018112614,家用工具组套,stanley/史丹利,MC-058-23,201909,285.71,830,72,167468.03000000006,64,85.36,40.0,40,0,2,42,0.9523809523809523,21
73,2018112614,家用工具组套,ak,E082,201909,57.6,18990,29,3336077.89,20,93.93,15.0,1463,3,75,1541,0.9493835171966256,22
63,2018112614,家用工具组套,芝浦,锂电钻+工具套装,201909,181.92,5430,47,1062369.2499999998,41,88.5,32.0,467,0,26,493,0.947261663286004,23
50,2018112614,家用工具组套,科麦斯,实用工具23件套,201909,38.78,4381,50,172069.5,63,83.94,48.0,86,0,5,91,0.945054945054945,24
32,2018112614,家用工具组套,佛兰仕,锂电组套0,201909,157.52,4071,51,739538.0999999999,45,82.82,50.0,406,1,23,430,0.9441860465116279,25
70,2018112614,家用工具组套,bosch/博世,家用多功能五金工具箱108件套,201909,132.06,6100,44,1068131.95,40,94.68,14.0,449,0,27,476,0.9432773109243697,26
9,2018112614,家用工具组套,fogo/富格,GJTZ1001,201909,35.17,1583,67,111727.67,68,92.0,19.0,214,6,7,227,0.9427312775330396,27
52,2018112614,家用工具组套,科麦斯,工具箱组套,201909,22.56,4691,49,139901.05000000002,66,81.98,53.0,92,0,6,98,0.9387755102040817,28
62,2018112614,家用工具组套,芝浦,冲击钻+组套工具,201909,213.63,1257,68,264550.89,61,84.97,42.0,178,0,12,190,0.9368421052631579,29
57,2018112614,家用工具组套,科麦斯,组合款,201909,35.0,952065,1,45434257.37000001,3,92.21,18.0,18299,94,1169,19562,0.9354360494836929,30
53,2018112614,家用工具组套,科麦斯,巨无霸,201909,686.1,16042,32,11012361.94,9,90.83,23.0,1567,8,102,1677,0.9344066785927251,31
30,2018112614,家用工具组套,佛兰仕,FLS-966,201909,668.15,1028,70,727944.0,46,71.64,68.0,94,0,7,101,0.9306930693069307,32
58,2018112614,家用工具组套,科麦斯,超强动力冲击钻工具组合套装,201909,190.8,18713,30,3550717.22,19,90.67,24.0,1823,7,130,1960,0.9301020408163265,33
56,2018112614,家用工具组套,科麦斯,王者电钻工具组合套装,201909,305.73,161152,8,54120939.03999998,1,90.63,25.0,5301,23,385,5709,0.928533893851813,34
55,2018112614,家用工具组套,科麦斯,暴龙系列工具箱,201909,289.7,2604,58,747872.78,44,90.25,27.0,345,1,28,374,0.9224598930481284,35
66,2018112614,家用工具组套,闽豹,手动家用工具套装,201909,45.6,192346,6,17721534.259999998,7,89.64,29.0,2626,7,235,2868,0.9156206415620641,36
29,2018112614,家用工具组套,佛兰仕,CP-001,201909,305.5,57769,15,20209588.53,6,88.25,33.0,3072,15,284,3371,0.9113022841886681,37
59,2018112614,家用工具组套,科麦斯,锂电钻工具组合套装,201909,198.24,212178,5,47584250.62,2,89.76,28.0,9893,46,923,10862,0.910789909777205,38
45,2018112614,家用工具组套,晶思达,JSDGJX,201909,45.03,37165,21,2101438.46,30,89.33,30.0,1857,15,168,2040,0.9102941176470588,39
47,2018112614,家用工具组套,泓雷,1004,201909,20.02,26103,25,1209247.62,38,87.04,38.0,685,1,76,762,0.8989501312335958,40
67,2018112614,家用工具组套,龙韵,GJT0201011,201909,26.17,67730,14,3107468.48,22,84.72,44.0,1414,3,171,1588,0.8904282115869018,41
8,2018112614,家用工具组套,fogo/富格,AA,201909,152.54,9527,38,1835628.8300000003,33,84.27,46.0,419,13,39,471,0.8895966029723992,42
21,2018112614,家用工具组套,久克,JYTZ71,201909,152.77,10361,37,1924747.84,32,87.96,34.0,312,2,39,353,0.8838526912181303,43
4,2018112614,家用工具组套,deli/得力,3702,201909,194.0,1709,66,317824.36,58,78.49,60.0,30,0,4,34,0.8823529411764706,44
25,2018112614,家用工具组套,亚得力,06,201909,32.28,14805,36,483127.4799999999,52,82.04,52.0,196,4,24,224,0.875,45
49,2018112614,家用工具组套,科麦斯,专业百样工具组合套装,201909,142.07,30266,23,4600740.130000001,14,87.75,35.0,1012,10,137,1159,0.8731665228645384,46
5,2018112614,家用工具组套,dpei/赣春,GC-16.2,201909,47.4,116453,9,7819557.390000002,11,87.4,36.0,1150,8,160,1318,0.8725341426403642,47
19,2018112614,家用工具组套,久克,JKDZ1,201909,81.31,15912,33,1789561.59,34,84.92,43.0,397,5,53,455,0.8725274725274725,48
48,2018112614,家用工具组套,科麦斯,25V锂电钻套装,201909,346.8,1780,64,614078.4,50,77.94,62.0,115,1,16,132,0.8712121212121212,49
1,2018112614,家用工具组套,bosch/博世,12/66/108件套,201909,138.09,2173,61,405532.18000000005,55,84.01,47.0,47,0,7,54,0.8703703703703703,50
7,2018112614,家用工具组套,fixman/菲克斯曼,BT46,201909,153.6,21412,27,3832719.82,18,85.1,41.0,503,1,74,578,0.870242214532872,51
65,2018112614,家用工具组套,闽豹,家用工具套装,201909,34.8,52372,16,2324065.7300000004,28,83.48,49.0,600,6,84,690,0.8695652173913043,52
71,2018112614,家用工具组套,crest/瑞德,105888,201909,49.29,165897,7,14188073.55,8,87.08,37.0,2109,10,318,2437,0.8654082888797702,53
12,2018112614,家用工具组套,sj/上匠,家用工具套装,201909,35.14,52017,17,2703123.18,26,86.39,39.0,750,4,113,867,0.8650519031141869,54
16,2018112614,家用工具组套,stanley/史丹利,MC-045-23,201909,134.16,15319,34,4119559.61,17,81.49,54.0,448,3,70,521,0.8598848368522073,55
6,2018112614,家用工具组套,dpei/赣春,锂电钻工具套装,201909,192.11,3582,54,710056.17,48,80.61,56.0,91,0,18,109,0.8348623853211009,56
13,2018112614,家用工具组套,sj/上匠,工具套装组合,201909,44.26,3667,53,273666.36,59,67.0,72.0,45,0,9,54,0.8333333333333334,57
27,2018112614,家用工具组套,亚得力,13,201909,20.4,582167,2,21752157.23,5,84.43,45.0,4535,30,881,5446,0.8327212633125229,58
14,2018112614,家用工具组套,sj/上匠,牛筋包工具套装,201909,33.88,41310,19,2266806.59,29,82.81,51.0,420,1,87,508,0.8267716535433071,59
20,2018112614,家用工具组套,久克,JKZK8,201909,58.8,22174,26,1345420.7999999998,37,78.86,57.0,282,1,59,342,0.8245614035087719,60
43,2018112614,家用工具组套,捷顺,家用工具组合套装,201909,93.55,79171,12,4653860.8,13,78.73,59.0,636,5,134,775,0.8206451612903226,61
22,2018112614,家用工具组套,久克,JYZT12,201909,30.36,468019,3,29802713.4,4,80.63,55.0,2215,12,481,2708,0.8179468242245199,62
44,2018112614,家用工具组套,捷顺,组合工具套装,201909,17.88,103347,10,2737492.209999999,24,78.23,61.0,1132,9,252,1393,0.8126346015793252,63
11,2018112614,家用工具组套,sj/上匠,家用工具80,201909,114.15,6907,41,775351.3800000001,43,73.65,66.0,83,1,19,103,0.8058252427184466,64
26,2018112614,家用工具组套,亚得力,07,201909,117.6,27528,24,4182228.9200000013,16,78.81,58.0,479,6,115,600,0.7983333333333333,65
18,2018112614,家用工具组套,久克,JK0016,201909,58.67,46110,18,2532222.44,27,77.5,63.0,346,3,85,434,0.7972350230414746,66
2,2018112614,家用工具组套,crest/瑞德,205888,201909,298.78,2392,60,697356.06,49,67.47,71.0,22,0,6,28,0.7857142857142857,67
15,2018112614,家用工具组套,sj/上匠,牛筋包组套,201909,27.95,6637,42,434775.1700000001,53,69.03,69.0,84,0,23,107,0.7850467289719626,68
54,2018112614,家用工具组套,科麦斯,暴龙3号,201909,465.35,1889,63,878337.93,42,67.96,70.0,54,1,15,70,0.7714285714285715,69
