,cid,brand,model,datamonth,price,biz30day,total_sold_price,model_ratings,model_rank
14,2019091609,aqara,智能门锁,201908,1899.0,741,1257198.5,91.72,185.0
21,2019091609,beck,I2,201908,574.8,1531,1212780.3900000001,95.77,122.0
31,2019091609,be－tech/必达,I7FMTW-Z01A,201908,1461.18,3191,3243194.1599999997,94.15,148.0
35,2019091609,black sails/黑帆,MJ002,201908,1078.0,3585,3889960.0,98.02,45.0
58,2019091609,blond/佰仑,8901-7,201908,539.31,1378,703427.61,98.06,44.0
65,2019091609,cadn/蝉东,M1,201908,578.0,3832,2634378.0300000003,82.69,235.0
66,2019091609,carondy/卡隆迪,C8008,201908,256.0,1783,456448.0,95.45,129.0
71,2019091609,carondy/卡隆迪,C8102,201908,117.6,5662,748777.2,98.39,28.0
76,2019091609,carondy/卡隆迪,T18-X,201908,670.8,337,226059.6,97.78,56.0
98,2019091609,dessmann/德施曼,T11,201908,1371.09,7131,10619105.0,97.86,51.0
113,2019091609,dessmann/德施曼,T7000,201908,1399.52,42202,71834496.65,97.82,52.0
140,2019091609,dessmann/德施曼,T86,201908,1936.78,31302,67070805.0,97.69,61.0
150,2019091609,ens,H8,201908,1279.6,300,356226.73,92.13,177.0
179,2019091609,gateman,A330,201908,4490.0,462,1676932.57,,
211,2019091609,gateman,AK720,201908,4276.38,2082,8397723.54,97.68,62.0
232,2019091609,gateman,PASS700,201908,5174.38,5573,19790371.72,98.3,31.0
244,2019091609,gateman,PASS700-2,201908,5116.58,3143,5434038.25,93.58,154.0
245,2019091609,haier/海尔,TOP1,201908,1480.36,599,886735.62,92.2,176.0
247,2019091609,hoopson,V9,201908,112.2,2780,311916.0,98.49,23.0
252,2019091609,horow/希箭卫浴,H1,201908,1309.74,303,385846.26,88.75,214.0
254,2019091609,hrlchure/黑创,断桥铝,201908,477.6,200,126240.0,95.46,128.0
274,2019091609,iccssi/艾栖,C700,201908,2956.33,791,2284860.0,92.43,174.0
289,2019091609,iccssi/艾栖,E700,201908,2480.0,1008,2602159.0,93.49,155.0
294,2019091609,iccssi/艾栖,E700A,201908,1699.0,396,685200.0,88.55,216.0
332,2019091609,kaadas/凯迪仕,5005,201908,3280.0,519,1785349.0,87.49,221.0
370,2019091609,kaadas/凯迪仕,6107,201908,2366.11,1803,4979285.95,94.39,145.0
412,2019091609,kaadas/凯迪仕,K5,201908,1776.76,16091,34851198.55,96.74,95.0
426,2019091609,kaadas/凯迪仕,K7,201908,2165.67,1486,3999939.0,97.14,86.0
458,2019091609,kaadas/凯迪仕,K7-T,201908,3013.19,8471,25259931.979999997,93.35,160.0
487,2019091609,kaadas/凯迪仕,K8-T,201908,4077.07,7517,29242612.26,90.06,203.0
500,2019091609,kaadas/凯迪仕,K9,201908,2399.0,2038,4817385.3,92.72,169.0
504,2019091609,kaadas/凯迪仕,K9-V,201908,3690.85,146,518227.0,,
519,2019091609,kaadas/凯迪仕,K9-Y,201908,2666.84,6685,18192991.0,88.88,213.0
531,2019091609,kaadas/凯迪仕,TK1,201908,2363.55,5138,12427634.0,89.52,209.0
543,2019091609,kaadas/凯迪仕,TK2,201908,1957.94,18827,37476166.0,97.22,81.0
573,2019091609,kaadas/凯迪仕,TK2-YS,201908,1951.27,5289,11505917.0,91.9,182.0
594,2019091609,kaadas/凯迪仕,V5,201908,2236.78,1292,3173062.0,92.91,165.0
596,2019091609,kameisa,KM579,201908,1176.0,87,102312.0,95.02,137.0
598,2019091609,kameisa,KM788,201908,1580.0,97,153260.0,94.87,138.0
615,2019091609,keylock/第吉尔,#6600-268,201908,2099.0,391,798199.0,92.51,173.0
653,2019091609,keylock/第吉尔,313,201908,2930.0,454,1353001.3900000001,83.97,234.0
691,2019091609,keylock/第吉尔,6600-92触摸屏,201908,2880.0,2980,13209898.05,96.07,116.0
696,2019091609,kingku/劲固,K28,201908,2799.0,1035,2957165.0,97.34,76.0
705,2019091609,kingku/劲固,西雅图 S / SEATTLE S 1108,201908,3433.33,442,726642.38,96.39,106.0
746,2019091609,kob,100,201908,49.09,9230,397641.32000000007,93.31,161.0
766,2019091609,kob,KT-L6601,201908,375.13,3415,1619824.3,94.83,139.0
791,2019091609,ksmak/金指码,C5,201908,2999.0,2081,5914109.09,91.13,193.0
829,2019091609,ksmak/金指码,E3,201908,1999.0,8670,21197842.0,96.44,105.0
843,2019091609,ksmak/金指码,K51,201908,3099.0,1232,4477541.0,87.06,224.0
845,2019091609,kunshan,Y802-1,201908,1420.0,302,450340.0,89.41,210.0
859,2019091609,loock/鹿客,CLASSIC,201908,1847.37,31810,57731088.69,97.15,84.0
868,2019091609,loock/鹿客,CLASSIC 2S,201908,959.48,3974,5155370.87,69.24,237.0
882,2019091609,loock/鹿客,Q2,201908,3149.0,1001,3069122.0,,
892,2019091609,loock/鹿客,T1 PRO金,201908,2791.11,862,2647073.5,66.9,238.0
909,2019091609,loock/鹿客,TOUCH,201908,3223.07,4613,15553002.32,95.47,127.0
922,2019091609,madishi/玛蒂诗,V3,201908,498.0,4063,2063735.54,84.07,233.0
938,2019091609,marsalock/玛莎洛克,MS-B9,201908,1134.6,2113,1520200.14,97.19,83.0
976,2019091609,marsalock/玛莎洛克,MS-FACE,201908,1779.65,1658,3917731.51,95.75,124.0
1014,2019091609,marsalock/玛莎洛克,MS-P9,201908,1830.48,4190,7113717.48,98.85,12.0
1019,2019091609,marsalock/玛莎洛克,STAR,201908,1300.91,624,767506.0,87.53,220.0
1029,2019091609,midea/美的,M1,201908,1710.11,422,715802.75,62.42,239.0
1041,2019091609,panasonic/松下,V-M311C/L,201908,1899.0,898,1940337.1400000001,92.11,178.0
1052,2019091609,panasonic/松下,V-M721F,201908,2799.0,1071,2724089.0,92.6,171.0
