,cid,brand,model,datamonth,price,biz30day,total_sold_price,model_ratings,model_rank
2197,50008950,速为,S100,201909,114.23,11075,1417950.79,89.71,44.0
2207,50008950,速为,SW-T600,201909,394.21,697,234669.21000000002,,
2247,50008950,鑫瑞,001,201909,57.6,9939,957672.8200000001,,
2292,50008950,龙韵,5800,201909,90.94,41150,5478491.21,97.12,4.0
2312,50008950,龙韵,66U,201909,165.44,1602,279372.23999999993,,
2321,50008950,龙韵,77U,201909,169.05,401,70937.1,92.84,28.0
2333,50008950,龙韵,88U,201909,290.16,3737,1188686.93,95.05,14.0
2340,50008950,龙韵,LS30,201909,131.92,108,15427.53,60.98,65.0
2347,50008950,龙韵,LS激光卷尺,201909,135.76,1503,201850.5,88.23,47.0
2392,50008950,龙韵,语音角度款,201909,85.32,611495,69189662.58,96.82,5.0
