,cid,brand,model,datamonth,price,biz30day,total_sold_price,model_ratings,model_rank
31,2018112614,apollo/希孟,DT0773N1,201909,34.8,5451,525054.3799999999,91.67,20.0
68,2018112614,bosch/博世,12/66/108件套,201909,138.09,2173,405532.18000000005,84.01,47.0
119,2018112614,crest/瑞德,205888,201909,298.78,2392,697356.06,67.47,71.0
120,2018112614,crest/瑞德,电钻套装,201909,129.6,267,34603.2,96.34,8.0
137,2018112614,deli/得力,3702,201909,194.0,1709,317824.36,78.49,60.0
156,2018112614,dpei/赣春,GC-16.2,201909,47.4,116453,7819557.390000002,87.4,36.0
184,2018112614,dpei/赣春,锂电钻工具套装,201909,192.11,3582,710056.17,80.61,56.0
205,2018112614,fixman/菲克斯曼,BT46,201909,153.6,21412,3832719.8199999994,85.1,41.0
246,2018112614,fogo/富格,AA,201909,152.54,9527,1835628.8300000003,84.27,46.0
255,2018112614,fogo/富格,GJTZ1001,201909,35.17,1583,111727.67,92.0,19.0
268,2018112614,hold,HY-N,201909,23.88,444,11286.720000000001,91.59,22.0
299,2018112614,sj/上匠,家用工具80,201909,114.15,6907,775351.3800000001,73.65,66.0
344,2018112614,sj/上匠,家用工具套装,201909,35.14,52017,2703123.1799999997,86.39,39.0
364,2018112614,sj/上匠,工具套装组合,201909,44.26,3667,273666.36,67.0,72.0
409,2018112614,sj/上匠,牛筋包工具套装,201909,33.88,41310,2266806.59,82.81,51.0
454,2018112614,sj/上匠,牛筋包组套,201909,27.95,6637,434775.1700000001,69.03,69.0
499,2018112614,stanley/史丹利,MC-045-23,201909,134.16,15319,4119559.6100000003,81.49,54.0
508,2018112614,stanley/史丹利,MC-058-23,201909,285.71,830,167468.03000000003,85.36,40.0
553,2018112614,久克,JK0016,201909,58.67,46110,2532222.44,77.5,63.0
577,2018112614,久克,JKDZ1,201909,81.31,15912,1789561.59,84.92,43.0
598,2018112614,久克,JKZK8,201909,58.8,22174,1345420.7999999998,78.86,57.0
615,2018112614,久克,JYTZ71,201909,152.77,10361,1924747.8399999999,87.96,34.0
660,2018112614,久克,JYZT12,201909,30.36,468019,29802713.400000002,80.63,55.0
665,2018112614,久克,LSJY-70,201909,42.81,3797,210319.50999999998,93.08,16.0
666,2018112614,久克,LSXK-JK60-70,201909,35.15,988,34731.98,95.62,10.0
707,2018112614,亚得力,06,201909,32.28,14805,483127.47999999986,82.04,52.0
749,2018112614,亚得力,07,201909,117.6,27528,4182228.920000001,78.81,58.0
791,2018112614,亚得力,13,201909,20.4,582167,21752157.229999997,84.43,45.0
799,2018112614,亚得力,超强铝头电钻套装,201909,286.8,4807,1394215.8399999999,98.25,2.0
824,2018112614,佛兰仕,CP-001,201909,305.5,57769,20209588.53,88.25,33.0
837,2018112614,佛兰仕,FLS-966,201909,668.15,1028,727944.0,71.64,68.0
841,2018112614,佛兰仕,工具箱套装-001,201909,314.1,1048,326332.19999999995,90.58,26.0
846,2018112614,佛兰仕,锂电组套0,201909,157.52,4071,739538.0999999999,82.82,50.0
891,2018112614,力箭,LJF12008,201909,47.31,3347,269267.4,60.15,73.0
922,2018112614,卡夫威尔,H1041A,201909,57.6,6274,149137.19999999998,91.59,21.0
935,2018112614,卡瓦尼,套装,201909,161.89,5922,1077500.91,98.47,1.0
980,2018112614,厚政,610,201909,20.15,86335,4516388.079999999,75.81,64.0
982,2018112614,哲登,ZD-061,201909,17.76,1715,30458.4,96.56,6.0
983,2018112614,哲登,ZD-068,201909,22.68,2070,46947.6,94.78,13.0
985,2018112614,戈麦斯,MT,201909,148.51,2525,375239.28,97.5,4.0
997,2018112614,戈麦斯,TYK,201909,167.19,8161,1363724.19,96.38,7.0
1012,2018112614,戈麦斯,TYK-01,201909,154.8,17940,2777111.99,95.28,12.0
1031,2018112614,戈麦斯,锂电钻工具套装,201909,174.0,15086,2705809.3699999996,97.11,5.0
1076,2018112614,捷顺,家用工具组合套装,201909,93.55,79171,4653860.8,78.73,59.0
1121,2018112614,捷顺,组合工具套装,201909,17.88,103347,2737492.209999999,78.23,61.0
1125,2018112614,晶思达,JSDGJX,201909,45.03,37165,2101438.46,89.33,30.0
1146,2018112614,木子,工具箱组套,201909,18.96,3490,85282.17000000003,97.92,3.0
1167,2018112614,泓雷,1004,201909,20.02,26103,1209247.62,87.04,38.0
1188,2018112614,科麦斯,25V锂电钻套装,201909,346.8,1780,614078.4,77.94,62.0
1233,2018112614,科麦斯,专业百样工具组合套装,201909,142.07,30266,4600740.130000001,87.75,35.0
1278,2018112614,科麦斯,实用工具23件套,201909,38.78,4381,172069.5,83.94,48.0
1299,2018112614,科麦斯,工具箱套装,201909,21.48,19876,427034.77,95.36,11.0
1324,2018112614,科麦斯,工具箱组套,201909,22.56,4691,139901.05000000002,81.98,53.0
1352,2018112614,科麦斯,巨无霸,201909,686.1,16042,11012361.94,90.83,23.0
1365,2018112614,科麦斯,暴龙3号,201909,465.35,1889,878337.93,67.96,70.0
1380,2018112614,科麦斯,暴龙系列工具箱,201909,289.7,2604,747872.78,90.25,27.0
1425,2018112614,科麦斯,王者电钻工具组合套装,201909,305.73,161152,54120939.039999984,90.63,25.0
1470,2018112614,科麦斯,组合款,201909,35.0,952065,45434257.37000001,92.21,18.0
1491,2018112614,科麦斯,超强动力冲击钻工具组合套装,201909,190.8,18713,3550717.22,90.67,24.0
1520,2018112614,科麦斯,锂电钻工具组合套装,201909,198.24,212178,47584250.62,89.76,28.0
1565,2018112614,艾瑞泽,ARZTZ-15,201909,47.67,75987,4966842.940000001,72.19,67.0
1573,2018112614,艾瑞泽,ZHTZ,201909,31.78,2617,136039.21,88.96,31.0
1588,2018112614,芝浦,冲击钻+组套工具,201909,213.63,1257,264550.89,84.97,42.0
1604,2018112614,芝浦,锂电钻+工具套装,201909,181.92,5430,1062369.2499999998,88.5,32.0
1646,2018112614,车大大,002,201909,11.4,277525,3335423.2599999993,44.64,74.0
1680,2018112614,闽豹,家用工具套装,201909,34.8,52372,2324065.7300000004,83.48,49.0
1721,2018112614,闽豹,手动家用工具套装,201909,45.6,192346,17721534.259999998,89.64,29.0
1766,2018112614,龙韵,GJT0201011,201909,26.17,67730,3107468.48,84.72,44.0
1808,2018112614,ak,家装组套,201909,141.6,38557,10081261.809999999,96.21,9.0
1824,2018112614,apollo/希孟,粉色家用39件/40件,201909,35.92,31229,2098956.9,74.16,65.0
1862,2018112614,bosch/博世,家用多功能五金工具箱108件套,201909,132.06,6100,1068131.95,94.68,14.0
1871,2018112614,crest/瑞德,105888,201909,49.29,165897,14188073.549999999,87.08,37.0
1955,2018112614,dpei/赣春,GC16/68,201909,70.7,9247,712691.9600000001,92.95,17.0
1997,2018112614,ak,E082,201909,57.6,18990,3336077.89,93.93,15.0
