,cid,cidname,brand,model,datamonth,price,biz30day,biz30day_rank,total_sold_price,total_sold_price_rank,model_ratings,model_rank,model_pos,model_neu,model_neg,model_total,model_rate,model_rate_rank
519,50006219,电钻,福瑞德,36V锂电钻,201909,78.36,7971,133,1735723.01,112,79.08,212.0,379,1,24,404,0.9381188118811881,300
16,50006219,电钻,boda/博大,D1209-10,201909,190.8,5996,160,1167854.5000000002,148,81.95,163.0,392,4,22,418,0.937799043062201,301
200,50006219,电钻,ken/锐奇,BL6012C,201909,118.78,707,446,69824.0,512,60.92,497.0,30,0,2,32,0.9375,302
170,50006219,电钻,gcraft/世匠,C15003,201909,75.31,11787,106,1019077.8300000002,167,74.77,281.0,269,2,16,287,0.9372822299651568,303
586,50006219,电钻,质造,ZZ1201,201909,46.8,1979,283,105433.20000000001,468,77.72,235.0,147,0,10,157,0.9363057324840764,304
88,50006219,电钻,camaton/卡玛顿,7133A,201909,112.34,76389,23,8596643.809999999,34,87.69,69.0,9083,35,583,9701,0.936295227296155,305
393,50006219,电钻,大艺,1006,201909,124.99,1628,317,249449.52,347,56.58,544.0,44,1,2,47,0.9361702127659575,306
396,50006219,电钻,大艺,1006/1008,201909,167.39,954,401,180628.2,396,67.46,402.0,44,3,0,47,0.9361702127659575,307
328,50006219,电钻,佛兰仕,FLS-XK01,201909,107.68,5362,175,715439.08,210,83.73,126.0,308,2,19,329,0.9361702127659575,308
6,50006219,电钻,berent/百锐,BT9896,201909,165.26,4582,191,735214.14,203,72.91,316.0,190,0,13,203,0.9359605911330049,309
237,50006219,电钻,rhea tool/雷亚,12V,201909,163.01,16471,82,3166810.4899999998,71,85.08,112.0,1032,7,64,1103,0.9356300997280145,310
136,50006219,电钻,dongcheng/东成,DCJZ10-10E,201909,138.08,14058,96,2547846.64,82,76.72,249.0,174,1,11,186,0.9354838709677419,311
252,50006219,电钻,stanley/史丹利,600/700/7213,201909,195.46,1708,309,513001.67,246,72.33,326.0,159,3,8,170,0.9352941176470588,312
327,50006219,电钻,佛兰仕,FLS-SDZ-001,201909,58.8,1034,386,74166.33999999998,509,64.24,462.0,43,0,3,46,0.9347826086956522,313
316,50006219,电钻,久克,JK-7136,201909,118.15,2546,250,435171.36,264,76.41,254.0,186,0,13,199,0.9346733668341709,314
462,50006219,电钻,戈麦斯,25V充电钻,201909,202.8,2584,248,550358.28,239,72.46,325.0,99,0,7,106,0.9339622641509434,315
596,50006219,电钻,金得创,6107,201909,54.0,311,544,17974.800000000003,601,67.24,407.0,14,0,1,15,0.9333333333333333,316
101,50006219,电钻,devon/大有,1818,201909,288.24,696,450,181733.36000000002,394,75.33,270.0,14,0,1,15,0.9333333333333333,317
426,50006219,电钻,奥奔,AT3211A/B,201909,184.07,704,447,118552.75,454,45.48,612.0,14,0,1,15,0.9333333333333333,318
12,50006219,电钻,boda/博大,D10-16E,201909,286.8,562,474,155186.87999999998,416,52.83,570.0,14,0,1,15,0.9333333333333333,319
155,50006219,电钻,dongcheng/东成,J1Z-FF08-10,201909,176.11,1491,332,264144.61,339,62.12,484.0,28,0,2,30,0.9333333333333333,320
629,50006219,电钻,龙韵,LY0012001,201909,160.65,4458,193,741832.55,201,77.7,237.0,181,0,13,194,0.9329896907216495,321
635,50006219,电钻,龙韵,LY24V,201909,141.6,25840,59,4286411.88,56,82.65,151.0,457,4,29,490,0.9326530612244898,322
213,50006219,电钻,makita/牧田,6412 6413,201909,378.94,1113,373,341246.49,298,68.38,385.0,41,0,3,44,0.9318181818181818,323
292,50006219,电钻,worx/威克士,WX372,201909,455.37,732,442,359943.67000000004,287,73.28,310.0,41,0,3,44,0.9318181818181818,324
332,50006219,电钻,佛兰仕,FOLS-C款01,201909,167.18,49785,36,9682072.46,28,86.41,88.0,3163,16,216,3395,0.9316642120765832,325
240,50006219,电钻,rhea tool/雷亚,AZ1001,201909,162.37,1682,311,272883.70999999996,335,75.14,273.0,109,1,7,117,0.9316239316239316,326
624,50006219,电钻,龙韵,LV002100,201909,128.62,48804,38,6790736.079999999,40,85.17,106.0,1811,15,118,1944,0.9315843621399177,327
143,50006219,电钻,dongcheng/东成,FF-10A,201909,135.74,59126,29,8712449.950000001,33,83.7,127.0,1342,8,91,1441,0.9312977099236641,328
621,50006219,电钻,龙韵,50系列数显电钻,201909,123.81,299,547,53313.299999999996,529,56.66,543.0,27,0,2,29,0.9310344827586207,329
