,cid,cidname,brand,model,datamonth,price,biz30day,biz30day_rank,total_sold_price,total_sold_price_rank,model_ratings,model_rank,model_pos,model_neu,model_neg,model_total,model_rate,model_rate_rank
882,2018112610,螺丝刀,江拓,异型螺丝刀,201909,6.6,15,1099,99.0,1108,30.89,918.0,1,0,0,1,1.0,1
389,2018112610,螺丝刀,rubicon/罗宾汉,RES-351,201909,31.97,242,932,7563.280000000001,893,30.89,918.0,2,0,0,2,1.0,2
279,2018112610,螺丝刀,lx/联禧,6HAP枪式风批,201909,239.01,457,837,110311.27,333,42.58,822.0,5,0,0,5,1.0,3
1033,2018112610,螺丝刀,釼,FO-9006,201909,8.16,1028,662,9237.199999999999,863,76.89,58.0,12,0,0,12,1.0,4
759,2018112610,螺丝刀,威利,螺丝刀,201909,14.5,631,763,8903.220000000001,866,69.08,175.0,5,0,0,5,1.0,5
356,2018112610,螺丝刀,pesco,家用螺丝刀,201909,7.44,1148,636,8794.94,867,47.26,689.0,6,0,0,6,1.0,6
588,2018112610,螺丝刀,wera /维拉,05227704001,201909,599.0,13,1102,8787.0,868,26.98,1052.0,1,0,0,1,1.0,7
410,2018112610,螺丝刀,sata/世达,09602、09603,201909,202.7,44,1074,8634.34,870,30.89,918.0,1,0,0,1,1.0,8
69,2018112610,螺丝刀,deli/得力,DL3440,201909,8.06,1129,641,8583.96,873,71.64,137.0,6,0,0,6,1.0,9
860,2018112610,螺丝刀,欧神,OS-6D35,201909,165.6,700,749,115990.20000000001,321,30.89,918.0,1,0,0,1,1.0,10
228,2018112610,螺丝刀,jetech/捷科,SC3系列,201909,6.24,1332,600,8311.68,877,39.73,861.0,5,0,0,5,1.0,11
508,2018112610,螺丝刀,stanley/史丹利,66-351-23,201909,11.0,735,739,8188.54,879,52.3,580.0,4,0,0,4,1.0,12
39,2018112610,螺丝刀,bosch/博世,GO套装,201909,396.68,300,905,119408.0,315,41.74,842.0,9,0,0,9,1.0,13
1012,2018112610,螺丝刀,迅达,1.5/2.0/2.5/3.0MM,201909,7.43,7980,237,121326.57000000004,312,60.73,372.0,11,0,0,11,1.0,14
988,2018112610,螺丝刀,蒂梵妮尔,CJP-814,201909,34.56,232,940,8017.919999999999,882,47.19,691.0,2,0,0,2,1.0,15
609,2018112610,螺丝刀,wyma/威马牌气动工具系列,3120,201909,246.0,522,805,121723.55,310,54.14,532.0,8,0,0,8,1.0,16
1082,2018112610,螺丝刀,鹏工,9907-3,201909,5.1,1564,562,7988.1900000000005,883,48.94,658.0,8,0,0,8,1.0,17
