,cid,brand,model,datamonth,price,biz30day,total_sold_price,model_ratings,model_rank
44,2018112610,6688a,01,201909,6.96,692,7507.370000000002,44.95,774.0
84,2018112610,BOSI/波斯,BS459115,201909,7.2,1795,12700.460000000003,65.99,241.0
100,2018112610,BOSI/波斯,一字十字,201909,8.16,155,1264.8,57.28,460.0
126,2018112610,BOSI/波斯,异形螺丝刀,201909,6.96,1051,7035.610000000002,41.62,845.0
152,2018112610,BOSI/波斯,梅花螺丝刀,201909,8.5,4077,31866.71,53.4,555.0
183,2018112610,aeropro,7225,201909,63.6,1755,122884.30000000002,59.11,415.0
189,2018112610,airaj,螺丝刀套装,201909,58.8,1128,65160.1,53.16,562.0
217,2018112610,ambrums/安埗,/,201909,117.6,7795,1019535.0000000001,67.68,199.0
221,2018112610,aoneng/奥能精工,65,201909,6.24,656,4093.44,50.95,616.0
266,2018112610,asaki/雅赛崎,70合一,201909,31.15,4539,168895.60000000003,42.41,834.0
277,2018112610,atuman/安士,X-MINI,201909,129.0,94,11398.5,30.89,918.0
304,2018112610,atuman/安士,X1,201909,139.97,729,87496.32,71.38,142.0
307,2018112610,a－bf,DM-520S,201909,249.39,622,143704.82,62.68,315.0
324,2018112610,a－bf,DM-620,201909,249.02,618,134532.59,30.89,918.0
368,2018112610,bamer/百马,BM-10HB BM-12H,201909,268.67,234,59792.93,30.89,918.0
413,2018112610,bamer/百马,BM-10HS/8HS,201909,108.9,14874,2053039.4499999997,57.48,455.0
458,2018112610,bamer/百马,BM-305HA,201909,95.76,700,46284.57000000001,39.19,864.0
502,2018112610,bamer/百马,BM-318,201909,175.38,461,101956.96,,
539,2018112610,bamer/百马,BM-5H/10H,201909,109.82,4163,414409.18,58.8,425.0
584,2018112610,bamer/百马,BM-5HE/6HE/8HE,201909,165.48,822,135835.17,38.89,866.0
629,2018112610,bamer/百马,BM-5HP,201909,112.5,530,61381.799999999996,30.89,918.0
672,2018112610,bamer/百马,BM-6HAL/10HAL,201909,250.48,561,127904.41,47.19,691.0
710,2018112610,berent/百锐,BT9832,201909,104.16,17184,2040640.25,67.13,211.0
716,2018112610,black＆decker/百得,KC4815-A9,201909,99.0,123,13339.0,30.89,918.0
720,2018112610,bojoy,005,201909,2.22,2224,4937.280000000001,47.56,684.0
744,2018112610,bojoy,CJLSP,201909,16.78,5709,23236.36,56.2,488.0
769,2018112610,bojoy,LBTLSD,201909,4.46,44091,258494.84999999998,70.06,161.0
790,2018112610,bojoy,LYSSLSD,201909,6.58,2091,14834.82,45.45,757.0
811,2018112610,bojoy,SJLSD,201909,9.6,2194,22539.45,58.6,427.0
832,2018112610,bojoy,ZBLSDTZ,201909,9.17,24745,241872.87999999998,36.52,886.0
847,2018112610,bondhus/波顿,04006,201909,26.32,419,15583.559999999998,81.01,32.0
892,2018112610,borntun/波盾,BD-5H,201909,95.25,5773,532067.37,63.49,297.0
937,2018112610,borntun/波盾,BD-6HA,201909,120.0,1108,133140.0,65.95,242.0
982,2018112610,borntun/波盾,BD-8H,201909,230.0,617,141757.0,30.89,918.0
1020,2018112610,bosch/博世,2607019510,201909,49.25,250,13848.1,47.19,691.0
1063,2018112610,bosch/博世,46件装,201909,136.56,8828,1179839.55,73.19,112.0
1084,2018112610,bosch/博世,GDR120-LI,201909,751.2,142,104867.6,44.12,790.0
1105,2018112610,bosch/博世,GO,201909,280.31,57232,14056489.53,87.76,3.0
1106,2018112610,bosch/博世,GO 2代,201909,142.14,544,77325.0,26.98,1039.0
1108,2018112610,bosch/博世,GO套装,201909,396.68,300,119408.0,41.74,842.0
1134,2018112610,bosch/博世,GO纪念版,201909,300.89,74314,21458183.0,83.94,13.0
1179,2018112610,bosch/博世,IXO3,201909,358.87,5689,1989871.66,64.94,263.0
1182,2018112610,bq/百旗,可伸缩螺丝刀三件套,201909,34.0,99,3366.0,42.5,825.0
1192,2018112610,broppe/浦派,万向变节螺丝刀,201909,26.4,1321,43239.36,54.6,520.0
1230,2018112610,broppe/浦派,伸缩螺丝刀,201909,4.81,9265,77780.23000000001,63.93,290.0
1235,2018112610,broppe/浦派,伸缩起子组套,201909,11.88,853,10133.64,58.06,438.0
1248,2018112610,broppe/浦派,棘轮快扳螺丝刀,201909,19.53,5534,130300.34999999998,54.54,521.0
1259,2018112610,broppe/浦派,法拉利批头套装,201909,48.0,532,28226.0,49.96,640.0
1260,2018112610,broppe/浦派,红柄螺丝刀,201909,10.77,58,624.38,26.98,1039.0
1282,2018112610,brt/佰瑞特,25合1,201909,29.23,278,7987.9,15.1,1074.0
1316,2018112610,brt/佰瑞特,30合1,201909,8.56,3251,27626.269999999997,39.49,863.0
1361,2018112610,brt/佰瑞特,十字一字螺丝刀,201909,4.42,15277,139556.78000000003,61.8,343.0
1379,2018112610,brt/佰瑞特,手雷柄螺丝刀,201909,1.22,12532,25405.250000000004,53.06,564.0
1424,2018112610,brt/佰瑞特,螺丝刀套装,201909,55.97,5525,323803.09,45.4,759.0
1427,2018112610,bumbershoot/雨伞,800,201909,58.8,367,21579.6,30.89,918.0
1434,2018112610,cczj/正继,萝卜头螺丝刀,201909,4.56,2026,10657.97,66.04,240.0
1464,2018112610,cmq,LSD-01,201909,2.76,4553,15476.510000000002,61.03,364.0
1482,2018112610,cnlwan,钟表批,201909,16.9,349,4347.099999999999,10.85,1079.0
1496,2018112610,cristin/克里斯汀,CT-LSP,201909,15.89,584,9165.28,55.4,503.0
1520,2018112610,dabaixiong,JL-01,201909,1.8,25710,46898.4,40.0,858.0
1526,2018112610,darex,DSC,201909,9.6,2940,28224.0,71.72,134.0
1542,2018112610,deguqmnt,MNT-602313,201909,11.06,511,4804.61,51.84,594.0
1544,2018112610,deli/得力,555,201909,34.2,3086,107073.70999999999,64.57,273.0
1551,2018112610,deli/得力,DL1033,201909,33.9,2538,93567.71,54.82,513.0
1596,2018112610,deli/得力,DL1033D,201909,19.62,14311,381588.51999999996,68.31,185.0
1634,2018112610,deli/得力,DL1045D,201909,59.07,1044,49061.42,49.25,653.0
1640,2018112610,deli/得力,DL1129,201909,28.8,10505,319612.8,66.16,236.0
1646,2018112610,deli/得力,DL1130,201909,38.53,130,4873.4,30.89,918.0
1691,2018112610,deli/得力,DL3206,201909,10.42,11620,123765.54000000001,45.88,749.0
1705,2018112610,deli/得力,DL3440,201909,8.06,1129,8583.96,71.64,137.0
1711,2018112610,deli/得力,DL3453,201909,8.4,462,3849.6000000000004,30.89,918.0
1717,2018112610,deli/得力,DL3501,201909,29.62,251,7096.860000000001,35.41,889.0
1723,2018112610,deli/得力,DL3502,201909,30.45,1887,56936.57,48.86,661.0
1728,2018112610,deli/得力,DL3545,201909,57.36,686,40663.380000000005,50.28,635.0
1734,2018112610,deli/得力,DL3565,201909,69.38,66,4758.6,29.39,1024.0
1773,2018112610,deli/得力,DL626001,201909,10.36,9208,102560.9,61.19,358.0
1784,2018112610,deli/得力,DL626010,201909,13.1,456,5535.240000000001,53.68,546.0
1790,2018112610,deli/得力,DL626011,201909,19.83,322,6353.8,39.76,859.0
1835,2018112610,deli/得力,DL633075,201909,3.15,22690,1101325.1699999997,30.89,918.0
1843,2018112610,deli/得力,DL6330751,201909,4.33,36139,167620.63,57.93,442.0
1854,2018112610,deli/得力,DL636002,201909,9.47,291,2312.01,46.68,727.0
1865,2018112610,deli/得力,DL636009,201909,29.36,2471,72230.77,51.19,612.0
1871,2018112610,delixi electric/德力西电气,DECESDC35N,201909,144.94,595,84679.0,27.43,1037.0
1909,2018112610,delixi electric/德力西电气,DHCHT,201909,4.77,24460,145205.03999999995,67.76,197.0
1947,2018112610,delixi electric/德力西电气,DHCHT1033D,201909,24.03,45570,950658.6199999998,68.02,190.0
1982,2018112610,delvo,BSD-101,201909,22.8,3037,98929.85,30.89,918.0
2024,2018112610,diwells/得威斯,25件套,201909,29.0,3175,87001.57999999999,42.41,835.0
2069,2018112610,diwells/得威斯,483075,201909,4.58,20844,108711.27999999998,58.57,428.0
2114,2018112610,diwells/得威斯,彩条螺丝刀,201909,1.57,72772,153375.93000000002,70.15,159.0
2159,2018112610,diwells/得威斯,按摩双手胶柄螺丝批,201909,2.88,86366,340698.77000000014,68.85,182.0
2204,2018112610,diwells/得威斯,穿心柄螺丝刀,201909,10.7,12529,147790.37999999998,61.23,357.0
2247,2018112610,diwells/得威斯,钟表批,201909,26.69,1330,34695.05000000001,59.73,399.0
2248,2018112610,dpei/赣春,48合一螺丝刀,201909,67.11,16,1073.8,32.68,901.0
2253,2018112610,dpei/赣春,60合1螺丝批,201909,66.12,109,6970.49,30.89,1012.0
2263,2018112610,dpei/赣春,两用螺丝刀,201909,8.32,707,5636.25,50.43,632.0
2275,2018112610,dpei/赣春,盒装螺丝批套装,201909,33.6,10010,333719.57,60.24,381.0
2303,2018112610,dpei/赣春,螺丝刀套装,201909,13.39,80780,1397497.28,76.79,59.0
2340,2018112610,e-lon,透明,201909,3.6,3843,13817.13,66.48,229.0
2385,2018112610,elecall/伊莱科,0817,201909,3.61,28054,149061.07,75.34,75.0
2430,2018112610,elecall/伊莱科,0827,201909,11.77,4590,45603.76,61.97,336.0
2472,2018112610,elecall/伊莱科,31合一,201909,11.12,104466,1710526.12,80.8,33.0
2490,2018112610,elecall/伊莱科,61合1,201909,81.25,916,73242.77,28.82,1026.0
2535,2018112610,elecall/伊莱科,6合一,201909,12.47,7299,124621.23,49.48,647.0
2580,2018112610,elecall/伊莱科,9001,201909,28.94,59584,2013252.42,74.22,95.0
2625,2018112610,elecall/伊莱科,9002,201909,11.52,1032393,18331731.229999997,85.29,9.0
2670,2018112610,elecall/伊莱科,9003,201909,53.41,4546,198805.72,64.17,279.0
2676,2018112610,elecall/伊莱科,ET130001,201909,191.57,621,129274.13,67.86,194.0
2721,2018112610,elecall/伊莱科,S2,201909,5.3,1810,12535.169999999998,75.32,76.0
2740,2018112610,elecall/伊莱科,S5-9,201909,12.2,2547,43511.64,52.09,586.0
2742,2018112610,elecall/伊莱科,套筒螺丝刀,201909,10.68,56,561.1600000000001,26.98,1039.0
2787,2018112610,elecall/伊莱科,彩条螺丝批,201909,2.97,225982,839760.67,69.65,168.0
2832,2018112610,elecall/伊莱科,螺丝刀套装,201909,12.59,19331,366863.20999999996,67.32,209.0
2877,2018112610,elede,十字/一字,201909,3.71,13069,56029.09,62.57,317.0
2888,2018112610,etdko/艾迪科,ET-HJ-48,201909,66.37,503,33258.01,59.75,397.0
2907,2018112610,etdko/艾迪科,两用螺丝刀,201909,11.88,93,1020.66,,
2922,2018112610,etdko/艾迪科,螺丝批套装,201909,58.0,1490,85689.23999999999,71.4,141.0
2934,2018112610,everte/埃维特,-CJLSP01,201909,24.17,520,14575.48,65.8,248.0
2979,2018112610,exploit/开拓,043003,201909,30.25,287296,12936376.919999996,86.07,5.0
3024,2018112610,exploit/开拓,043003G,201909,7.2,1093,7883.61,50.35,634.0
3058,2018112610,exploit/开拓,043009,201909,83.78,3519,271230.04000000004,50.27,636.0
3103,2018112610,exploit/开拓,044023,201909,36.0,760,28097.399999999998,52.85,572.0
3141,2018112610,exploit/开拓,220590,201909,23.57,33082,1397697.2200000004,71.76,132.0
3186,2018112610,exploit/开拓,222031,201909,38.75,2771,96638.85999999997,47.34,688.0
3192,2018112610,fivepears,FENGPI,201909,80.4,1458,117223.2,51.39,605.0
3195,2018112610,fogo/富格,LT-1,201909,158.65,312,50061.56,48.13,672.0
3198,2018112610,fogo/富格,电动螺丝批,201909,39.0,532,22777.65,32.81,900.0
3214,2018112610,foshou,38PCS,201909,237.8,133,31627.4,41.55,846.0
3230,2018112610,fujiwara/藤原,SLS003,201909,67.42,4412,301537.0,66.99,215.0
3275,2018112610,gangtuo tool/钢拓工具,GT,201909,3.89,135257,849892.55,78.24,46.0
3282,2018112610,gangtuo tool/钢拓工具,GT-CA,201909,4.62,4315,26850.16,65.18,256.0
3296,2018112610,gangtuo tool/钢拓工具,GT-CAC46100Y,201909,11.38,1280,15448.899999999998,47.99,675.0
3323,2018112610,gangtuo tool/钢拓工具,GT-CB,201909,11.79,6314,73288.08,57.51,454.0
3351,2018112610,gangtuo tool/钢拓工具,GT-CD106LY,201909,5.08,77469,592499.86,73.02,115.0
3396,2018112610,gangtuo tool/钢拓工具,GT10,201909,12.26,12323,191880.75,55.53,500.0
3410,2018112610,gangtuo tool/钢拓工具,GT3123X100,201909,3.36,3540,12452.039999999999,69.08,175.0
3455,2018112610,gangtuo tool/钢拓工具,GT3123X100/GT3126X200,201909,3.46,75313,336980.82999999996,74.82,83.0
3495,2018112610,gcraft/世匠,C26124,201909,4.3,21038,139201.22999999998,75.04,80.0
3521,2018112610,gilgott,N8228,201909,16.8,9171,154072.8,54.46,523.0
3532,2018112610,golden knight/金骑士,S2冲击撞批,201909,42.0,735,39596.399999999994,60.1,386.0
3577,2018112610,go星球,0000,201909,4.68,5300,31254.640000000007,30.89,918.0
3596,2018112610,greener/绿林,3/5/6/8MM,201909,6.1,6636,43965.869999999995,51.69,598.0
3600,2018112610,greener/绿林,5.30能工螺丝刀,201909,10.82,2357,33580.270000000004,51.27,607.0
3612,2018112610,greener/绿林,69PC螺丝批组套,201909,87.92,790,69373.06,43.12,807.0
3633,2018112610,greener/绿林,丹宇电动螺丝刀,201909,98.48,1345,142198.56000000003,46.48,735.0
3671,2018112610,greener/绿林,伸缩螺丝刀,201909,7.14,67004,698978.16,73.58,102.0
3704,2018112610,greener/绿林,你棒柄螺丝刀,201909,6.64,4586,27628.509999999995,52.06,587.0
3714,2018112610,greener/绿林,冲击螺丝刀,201909,21.56,256,14480.13,52.68,576.0
3747,2018112610,greener/绿林,塑柄螺丝刀,201909,6.03,4764,22875.230000000003,59.75,398.0
3753,2018112610,greener/绿林,大号螺丝刀,201909,6.6,1579,12593.97,59.82,395.0
3777,2018112610,greener/绿林,家用螺丝刀,201909,4.83,120906,745015.6000000001,79.97,38.0
3779,2018112610,greener/绿林,小米螺丝批组套,201909,48.97,491,24043.87,58.56,429.0
3793,2018112610,greener/绿林,工业款,201909,41.87,1131,52297.56999999999,58.92,419.0
3796,2018112610,greener/绿林,异型螺丝刀,201909,8.74,11082,118016.8,71.52,139.0
3799,2018112610,greener/绿林,异型螺丝刀拆公牛,201909,4.98,427,3382.93,68.18,186.0
3811,2018112610,greener/绿林,异形螺丝刀,201909,7.81,3942,27709.010000000002,59.72,400.0
3813,2018112610,greener/绿林,异形螺丝批,201909,5.24,2642,22677.34,64.98,259.0
3851,2018112610,greener/绿林,彩条柄螺丝刀,201909,6.69,167861,1303127.2999999998,75.87,65.0
3896,2018112610,greener/绿林,彩色柄米字螺丝刀,201909,6.32,4961,42940.71000000001,60.03,389.0
3941,2018112610,greener/绿林,数码螺丝刀,201909,11.88,13015,234170.22000000012,71.85,130.0
3986,2018112610,greener/绿林,武大郎短柄螺刀,201909,6.94,9388,62048.520000000004,60.25,380.0
3988,2018112610,greener/绿林,精修螺丝刀组套,201909,48.99,22,1077.8,26.98,1052.0
3990,2018112610,greener/绿林,精密款,201909,24.01,472,11375.45,43.7,797.0
3995,2018112610,greener/绿林,精密螺丝刀,201909,9.32,149,1289.4,57.28,460.0
4000,2018112610,greener/绿林,能工精密螺丝刀3.4MM,201909,9.24,2274,19589.34,60.23,382.0
4003,2018112610,greener/绿林,能工螺丝刀7.0,201909,10.98,327,3953.6000000000004,9.63,1080.0
4005,2018112610,greener/绿林,能工螺丝批组套,201909,23.88,42,972.03,44.95,774.0
4041,2018112610,greener/绿林,螺丝刀,201909,6.11,4677,32053.030000000006,78.63,44.0
4073,2018112610,greener/绿林,螺丝刀组合套装,201909,5.25,1454,7214.34,83.37,18.0
4086,2018112610,greener/绿林,螺丝刀组套,201909,37.48,3870,170106.25999999998,47.09,717.0
4114,2018112610,greener/绿林,螺丝批组套,201909,26.0,1156,37926.04,42.87,814.0
4128,2018112610,greener/绿林,钟表螺丝批,201909,5.22,2743,12055.430000000002,56.0,492.0
4135,2018112610,guanshi/冠仕,998-SD,201909,42.49,522,25082.829999999994,59.29,412.0
