,cid,brand,model,datamonth,price,biz30day,total_sold_price,model_ratings,model_rank
5,50006219,agl/安冠龙,CDZ-8,201909,82.8,115,9447.6,71.72,342.0
20,50006219,agl/安冠龙,HJ12-2,201909,94.8,2927,270753.6,67.73,397.0
24,50006219,agl/安冠龙,J1Z-RYT-10A,201909,58.8,552,31828.8,43.96,621.0
48,50006219,agl/安冠龙,轻型电钻,201909,82.8,6346,542523.9999999999,58.62,521.0
72,50006219,agp,AGP,201909,600.0,464,278467.5,91.76,13.0
102,50006219,bachofen,1201,201909,93.6,461,47835.74999999999,77.14,241.0
143,50006219,berent/百锐,BT9896,201909,165.26,4582,735214.14,72.91,316.0
146,50006219,black&decker/百得,MABASIC100-1300,201909,240.0,475,114000.0,78.48,226.0
158,50006219,blue front/蓝锋,LF8106,201909,141.6,2647,383061.6099999999,74.14,295.0
175,50006219,boda/博大,1205,201909,383.2,785,288957.21,54.13,563.0
216,50006219,boda/博大,:J1Z-KP01-13,201909,154.02,3774,504091.7199999999,68.21,391.0
250,50006219,boda/博大,D1-10,201909,225.6,672,140531.11000000004,54.95,557.0
284,50006219,boda/博大,D10-16E,201909,286.8,562,155186.87999999998,52.83,570.0
311,50006219,boda/博大,D1201-10,201909,190.8,1452,267937.87,81.42,176.0
356,50006219,boda/博大,D1206-10,201909,192.47,5766,1103466.65,74.2,293.0
401,50006219,boda/博大,D1206-10S,201909,155.82,4348,903395.13,74.49,289.0
431,50006219,boda/博大,D1209-10,201909,190.8,5996,1167854.5000000002,81.95,163.0
461,50006219,boda/博大,D18-10,201909,138.53,827,111977.63,77.71,236.0
497,50006219,boda/博大,D9-16E,201909,283.53,4093,1160828.4600000002,67.3,405.0
523,50006219,boda/博大,J0Z-KP01-10S,201909,195.35,6653,1391814.0,82.55,155.0
541,50006219,boda/博大,J0Z-KP05-10,201909,381.6,1709,626619.31,74.58,287.0
575,50006219,boda/博大,J0Z-KP06-10S,201909,211.29,4872,1038911.9700000001,79.33,208.0
615,50006219,boda/博大,J1Z-KP01-13,201909,155.36,1667,248016.11999999997,66.39,426.0
642,50006219,boda/博大,JD2-16E,201909,1188.0,4008,4754300.640000001,80.94,181.0
656,50006219,boda/博大,MD1205-10,201909,447.94,74,37309.0,22.14,640.0
693,50006219,boda/博大,Z1J-KP08-13,201909,216.71,8338,1520939.02,81.13,179.0
709,50006219,boda/博大,ZQ1-16,201909,825.6,411,322464.2,58.27,524.0
746,50006219,boda/博大,电钻,201909,172.4,1180,211451.11999999997,62.98,476.0
773,50006219,boda/博大,锂电钻,201909,224.76,731,182047.48,71.78,340.0
784,50006219,borka/博佧光电,DZ,201909,87.6,1432,134292.0,83.04,144.0
792,50006219,borka/博佧光电,DZ21,201909,94.8,23,2132.4,47.76,599.0
837,50006219,bosch/博世,0 601 1A9 085,201909,163.29,14771,2494819.85,74.09,296.0
853,50006219,bosch/博世,0 601 9F8 382,201909,457.73,1809,1049090.23,70.29,361.0
898,50006219,bosch/博世,06011A0181,201909,350.86,16231,6658651.069999999,73.76,303.0
940,50006219,bosch/博世,06011A1082,201909,305.67,667,201375.71999999994,66.56,419.0
985,50006219,bosch/博世,06011A9083,201909,172.33,1397,226980.83999999997,68.81,377.0
992,50006219,bosch/博世,06011A9180,201909,200.56,1225,214108.49,59.28,516.0
1023,50006219,bosch/博世,06011A9181,201909,165.36,1168,173680.69,64.35,459.0
1040,50006219,bosch/博世,0601473583,201909,340.21,575,219037.90000000002,79.2,210.0
1085,50006219,bosch/博世,06019E2080,201909,413.11,2043,831791.5899999999,57.44,534.0
1086,50006219,bosch/博世,06019E2087,201909,108.0,512,55296.0,66.62,417.0
1114,50006219,bosch/博世,06019F3083,201909,428.75,1409,488684.11,57.75,532.0
1159,50006219,bosch/博世,06019F3084,201909,556.22,45617,27624212.819999993,82.81,148.0
1199,50006219,bosch/博世,06019F7081,201909,438.31,22091,9949625.330000002,79.22,209.0
1230,50006219,bosch/博世,06019F8380,201909,907.04,5346,4920120.67,70.74,355.0
1232,50006219,bosch/博世,06019G9180,201909,1187.24,37,44163.0,81.6,171.0
1246,50006219,bosch/博世,061599C00P,201909,406.29,1006,452414.0,17.63,641.0
1277,50006219,bosch/博世,3400,201909,178.83,1574,259367.47999999998,60.17,508.0
1298,50006219,bosch/博世,3500自锁,201909,187.23,6449,1061133.14,73.55,306.0
1343,50006219,bosch/博世,GBM 13 RE 0601477584,201909,449.0,1507,737037.5,49.47,589.0
1386,50006219,bosch/博世,GBM10RE KLE,201909,359.46,1587,575582.58,66.85,413.0
1431,50006219,bosch/博世,GBM10RE/13RE,201909,434.84,1195,555018.58,36.95,629.0
1476,50006219,bosch/博世,GBM13RE,201909,393.85,10176,3881069.8400000003,69.45,369.0
1493,50006219,bosch/博世,GBM340,201909,179.84,11482,1921329.6400000001,84.83,115.0
1538,50006219,bosch/博世,GBM345,201909,160.47,97664,15483164.13,84.53,116.0
1583,50006219,bosch/博世,GBM345/340,201909,170.83,56318,9810468.060000006,81.57,173.0
1612,50006219,bosch/博世,GDR 120-LI (双电）,201909,764.56,1270,930608.11,60.89,499.0
1657,50006219,bosch/博世,GSB 10 RE 0601216185,201909,389.0,428,174320.0,50.54,585.0
1688,50006219,bosch/博世,GSB 120-LI 06019F3082,201909,547.38,5224,3138449.78,71.07,349.0
1719,50006219,bosch/博世,GSB120,201909,560.16,1614,1026082.2000000001,75.65,266.0
1762,50006219,bosch/博世,GSB120-LI,201909,640.72,6265,4279104.34,66.44,423.0
1769,50006219,bosch/博世,GSB12V-30,201909,681.3,62,41461.46,72.71,320.0
