,cid,cidname,brand,model,datamonth,price,biz30day,biz30day_rank,total_sold_price,total_sold_price_rank,model_ratings,model_rank,model_pos,model_neu,model_neg,model_total,model_rate,model_rate_rank
7,2019090610,投影仪,acer/宏碁,H7550ST,201908,7109.0,194,339,1588463.68,246,66.9,416.0,80.0,0.0,0.0,80.0,1.0,1
11,2019090610,投影仪,acer/宏碁,V7500+,201908,5027.89,77,400,398293.0,340,76.9,341.0,60.0,0.0,0.0,60.0,1.0,2
18,2019090610,投影仪,acer/宏碁,Z650,201908,7609.0,27,427,240705.71,378,66.79,417.0,32.0,0.0,0.0,32.0,1.0,3
175,2019090610,投影仪,panasonic/松下,PT-WX3400,201908,2849.0,427,281,1531217.8199999998,248,71.41,390.0,133.0,0.0,0.0,133.0,1.0,4
10,2019090610,投影仪,acer/宏碁,V6820M,201908,9350.8,26,428,178331.8,389,69.9,399.0,25.0,0.0,0.0,25.0,1.0,5
420,2019090610,投影仪,福满门,B100-BA,201908,1620.0,227,326,350702.89,351,67.6,413.0,80.0,0.0,0.0,80.0,1.0,6
27,2019090610,投影仪,aodian/澳典,M6,201908,1399.0,77,402,105016.33,410,73.8,368.0,48.0,0.0,0.0,48.0,1.0,7
174,2019090610,投影仪,panasonic/松下,PT-WW3600L,201908,5318.31,68,410,360425.38,348,91.3,77.0,40.0,0.0,0.0,40.0,1.0,8
113,2019090610,投影仪,hitachi/日立,K29E,201908,3049.15,1976,171,5865848.06,147,86.58,176.0,552.0,0.0,0.0,552.0,1.0,9
348,2019090610,投影仪,创荣,炫舞 3001-HT,201908,2998.0,120,372,379542.0,345,83.84,225.0,350.0,0.0,0.0,350.0,1.0,10
297,2019090610,投影仪,xiaomi/小米,米家投影仪,201908,3317.89,4607,123,16804436.009999998,71,76.97,340.0,4.0,0.0,0.0,4.0,1.0,11
48,2019090610,投影仪,benq/明基,LX810STD,201908,6341.8,52,418,282966.5,366,87.8,155.0,104.0,0.0,0.0,104.0,1.0,12
158,2019090610,投影仪,nec,NP-CD2116X,201908,3999.0,79,398,391192.60000000003,343,78.89,310.0,24.0,0.0,0.0,24.0,1.0,13
232,2019090610,投影仪,rigal,RD~606,201908,1745.18,61,412,94467.79999999999,414,76.1,347.0,60.0,0.0,0.0,60.0,1.0,14
39,2019090610,投影仪,benq/明基,E560,201908,5145.67,215,330,1083164.49,274,80.47,286.0,56.0,0.0,0.0,56.0,1.0,15
98,2019090610,投影仪,evieo/神画,F1 PRO,201908,5999.0,62,411,392838.0,342,64.44,421.0,40.0,0.0,0.0,40.0,1.0,16
256,2019090610,投影仪,sony/索尼,VPL-EX453,201908,4918.83,210,332,1018504.0,279,86.44,178.0,63.0,0.0,0.0,63.0,1.0,17
29,2019090610,投影仪,aodian/澳典,M8,201908,1449.0,106,383,189556.72999999998,386,74.93,357.0,95.0,0.0,0.0,95.0,1.0,18
50,2019090610,投影仪,benq/明基,MS3081,201908,2334.67,416,283,1001836.23,281,92.35,56.0,96.0,0.0,0.0,96.0,1.0,19
310,2019090610,投影仪,业王,YG520,201908,719.2,161,357,116915.49,406,95.3,10.0,424.0,0.0,0.0,424.0,1.0,20
428,2019090610,投影仪,蓝旭,T2,201908,492.15,238,320,123018.37,405,89.84,107.0,152.0,0.0,0.0,152.0,1.0,21
258,2019090610,投影仪,sony/索尼,VPL-HW48,201908,12699.5,122,371,1689165.6099999999,242,85.72,189.0,248.0,0.0,0.0,248.0,1.0,22
124,2019090610,投影仪,jmgo/坚果,G3 PRO,201908,4099.0,400,286,1946284.0,233,77.39,333.0,252.0,0.0,0.0,252.0,1.0,23
112,2019090610,投影仪,hisense/海信,80L5D,201908,21999.0,176,346,3015713.0,200,63.69,423.0,24.0,0.0,0.0,24.0,1.0,24
176,2019090610,投影仪,panasonic/松下,PT-WX3400L,201908,3611.62,1081,213,2905870.75,203,84.71,206.0,1200.0,0.0,0.0,1200.0,1.0,25
52,2019090610,投影仪,benq/明基,MS521H,201908,2685.67,949,222,2653554.7699999996,213,86.3,182.0,721.0,0.0,0.0,721.0,1.0,26
173,2019090610,投影仪,panasonic/松下,PT-UX315C,201908,3474.04,748,241,2644589.07,214,78.91,309.0,368.0,0.0,0.0,368.0,1.0,27
290,2019090610,投影仪,xbygimi/极米科技,XJ02P 套装版,201908,22499.0,125,369,2413987.5300000003,221,77.61,331.0,52.0,0.0,0.0,52.0,1.0,28
119,2019090610,投影仪,jmgo/坚果,A6定制版,201908,1832.33,109,380,163948.46999999997,393,78.17,322.0,24.0,0.0,0.0,24.0,1.0,29
91,2019090610,投影仪,epson/爱普生,CB-W42,201908,5499.33,56,416,315317.32,361,72.84,376.0,10.0,0.0,0.0,10.0,1.0,30
126,2019090610,投影仪,jmgo/坚果,H70,201908,6988.0,22,430,155636.0,398,70.22,396.0,44.0,0.0,0.0,44.0,1.0,31
278,2019090610,投影仪,wowoto/窝窝头,S6,201908,4499.0,28,425,124672.0,404,83.14,246.0,60.0,0.0,0.0,60.0,1.0,32
58,2019090610,投影仪,benq/明基,MX507,201908,2935.67,115,375,328678.29000000004,356,96.99,1.0,192.0,0.0,0.0,192.0,1.0,33
121,2019090610,投影仪,jmgo/坚果,C7,201908,2595.83,69,409,169099.95,391,58.46,431.0,16.0,0.0,0.0,16.0,1.0,34
105,2019090610,投影仪,e家乐,E02.,201908,1258.28,235,322,331641.25000000006,355,85.65,190.0,378.0,0.0,0.0,378.0,1.0,35
150,2019090610,投影仪,lightbrother/光影兄弟,W7S,201908,1724.0,88,393,154894.78000000003,399,72.88,375.0,125.0,0.0,0.0,125.0,1.0,36
234,2019090610,投影仪,rigal,卓越&尊享,201908,822.0,166,354,150412.2,400,82.65,253.0,112.0,0.0,0.0,112.0,1.0,37
57,2019090610,投影仪,benq/明基,MW632ST,201908,4358.02,76,403,334625.83,353,70.84,392.0,24.0,0.0,0.0,24.0,1.0,38
16,2019090610,投影仪,acer/宏碁,X1325WI,201908,4039.0,34,422,137326.0,403,66.6,418.0,24.0,0.0,0.0,24.0,1.0,39
331,2019090610,投影仪,光米,P6,201908,725.32,242,318,191848.0,385,74.87,358.0,145.0,0.0,0.0,145.0,1.0,40
54,2019090610,投影仪,benq/明基,MS531,201908,2511.5,116,374,295373.62,365,68.0,412.0,49.0,0.0,0.0,49.0,1.0,41
49,2019090610,投影仪,benq/明基,MH534,201908,4403.58,149,361,755256.03,300,70.06,398.0,91.0,0.0,0.0,91.0,1.0,42
246,2019090610,投影仪,skyworth/创维,LP1802,201908,1899.0,28,426,53172.0,423,73.18,373.0,24.0,0.0,0.0,24.0,1.0,43
6,2019090610,投影仪,acer/宏碁,H7530D,201908,2899.0,24,429,73076.0,419,69.16,405.0,20.0,0.0,0.0,20.0,1.0,44
109,2019090610,投影仪,e家乐,Q7.A,201908,957.6,60,413,57456.0,421,86.81,173.0,40.0,0.0,0.0,40.0,1.0,45
69,2019090610,投影仪,benq/明基,W2000+,201908,7799.0,100,388,808354.0,293,72.28,386.0,112.0,0.0,0.0,112.0,1.0,46
