,cid,brand,model,datamonth,price,biz30day,total_sold_price,model_ratings,model_rank
18,2019070912,be＆cheery/百草味,芝士蛋羹176G,201906,22.93,28699,596363.4,81.75,183.0
75,2019070912,bocca/牧家,规格: 布丁,201906,29.12,23335,1826146.9299999997,81.44,188.0
91,2019070912,call me queen/叫我女王,洛神花果冻,201906,29.76,118447,3543443.3,97.97,5.0
126,2019070912,chacheer/洽洽,儿童挤食果冻,201906,14.16,18031,218328.31,90.93,81.0
141,2019070912,chacheer/洽洽,蒟蒻果汁果冻,201906,35.13,6269,254653.6,73.96,227.0
195,2019070912,christine/克莉丝汀,套装,201906,39.87,12774,513431.80000000005,80.08,198.0
233,2019070912,clever mama/巧妈妈,乳酸菌布丁,201906,24.09,37265,1363759.6900000002,90.36,91.0
256,2019070912,clever mama/巧妈妈,奶酪布丁,201906,23.91,9305,256574.79,84.37,154.0
279,2019070912,clever mama/巧妈妈,老酸奶布丁,201906,22.93,28518,692431.3300000001,88.37,114.0
295,2019070912,clever mama/巧妈妈,芝士布丁,201906,33.27,5992,197376.24999999997,85.46,145.0
323,2019070912,clever mama/巧妈妈,鸡蛋布甸,201906,26.58,23856,657626.59,89.19,103.0
360,2019070912,clever mama/巧妈妈,鸡蛋布甸实惠装750G,201906,22.8,58448,1485742.96,87.29,120.0
402,2019070912,cocon/可康,420G*4,201906,29.9,9392,234840.13,86.96,124.0
456,2019070912,cocon/可康,多口味果冻 含椰果 480G,201906,16.22,22920,400667.25000000006,83.43,167.0
492,2019070912,cocon/可康,果冻708G,201906,53.46,3550,146233.78,73.33,232.0
523,2019070912,cocon/可康,椰果果冻80G*3杯,201906,22.56,6588,172560.15000000002,84.46,151.0
538,2019070912,cocon/可康,椰纤果肉果冻,201906,14.66,180844,2549668.71,88.58,113.0
546,2019070912,cozzo/高柔,综合果味条形果冻,201906,2.65,8371,22819.99,83.43,168.0
556,2019070912,easy fun,零卡果冻,201906,48.02,34088,1557353.1,82.63,176.0
581,2019070912,esthe pro labo,胶原蛋白果冻,201906,601.97,43739,19309587.0,80.02,199.0
606,2019070912,expressions,胶原蛋白果冻,201906,120.79,113699,13039775.0,97.48,12.0
627,2019070912,expressions,蓝莓酵素果冻条,201906,114.03,39878,4346212.0,93.43,47.0
631,2019070912,flower gear/花齿轮,花齿轮魔芋花派3口味,201906,28.79,4970,153991.44,84.36,155.0
651,2019070912,holiland/好利来,白桃果冻,201906,71.09,67067,5721945.83,74.47,225.0
665,2019070912,larbee/蜡笔小新,2.1KG果冻,201906,20.42,104322,2232665.4299999997,89.5,102.0
677,2019070912,larbee/蜡笔小新,2.2KG果冻,201906,19.8,12751,257444.68999999997,80.22,197.0
689,2019070912,larbee/蜡笔小新,2.3KG果冻,201906,37.37,1734,63670.0,86.3,136.0
701,2019070912,larbee/蜡笔小新,整箱果冻2100G,201906,22.48,10587,224270.66000000003,82.04,181.0
738,2019070912,larbee/蜡笔小新,果肉果冻,201906,30.92,9364,131130.37999999998,84.91,148.0
759,2019070912,larbee/蜡笔小新,鲜Q果冻爽150G*8包,201906,24.75,117406,2888888.45,92.83,53.0
762,2019070912,lium/溜溜梅,冻心装,201906,19.6,190490,3733598.68,73.63,229.0
765,2019070912,maizhao/唛兆,阿Q果冻,201906,15.47,34315,591302.6599999999,84.39,153.0
785,2019070912,metabolic,酵素酵母果冻,201906,12.09,8971,288851.32999999996,91.03,80.0
839,2019070912,milky gold,牛奶布丁,201906,25.88,18198,616963.2499999999,66.66,247.0
850,2019070912,moca-king/摩咔金,乳酸菌布丁500G,201906,19.9,15040,297630.70000000007,88.71,111.0
864,2019070912,moca-king/摩咔金,舞动吧组合250G*3盒,201906,31.8,105356,3666506.8099999996,92.51,58.0
876,2019070912,munwaving/美飘飘,酵素果冻盒装,201906,44.92,108081,3972989.0,98.98,1.0
919,2019070912,natural is best/自然派,芒果果冻,201906,21.16,5825,93126.34000000001,72.95,234.0
930,2019070912,orihiro/欧力喜乐,双拼果冻,201906,31.89,20176,664913.29,78.56,209.0
941,2019070912,orihiro/欧力喜乐,果汁蒟蒻可吸果冻,201906,25.53,143914,3730012.6999999997,89.95,94.0
969,2019070912,otaku/御宅女,酵素果,201906,5.94,593642,4310368.41,93.49,45.0
987,2019070912,o’best bakery/欧贝司,1,201906,23.49,4008,80407.21,91.76,70.0
992,2019070912,panda gifts/熊猫有礼,椰子冻,201906,67.5,12169,802336.0,77.54,215.0
1004,2019070912,petitzel,果冻草莓90,201906,5.19,5642,43484.0,87.58,118.0
1018,2019070912,slim waist/小纤腰,果冻3盒,201906,38.65,1932,75024.0,92.97,51.0
1030,2019070912,slim waist/小纤腰,酵素果冻系列,201906,24.12,4627,156169.90000000002,86.67,129.0
1056,2019070912,sx/世熙堂,酵素果冻,201906,20.68,107875,2449993.87,92.88,52.0
1099,2019070912,tarami,0卡,201906,30.4,24355,1025359.49,83.01,170.0
1122,2019070912,tarami,多肉组合,201906,92.0,3047,273766.0,81.99,182.0
1145,2019070912,tarami,蒟蒻组合,201906,61.89,34140,1938370.9699999997,79.39,201.0
1168,2019070912,tarami,零卡组合,201906,66.0,10596,678024.69,83.9,160.0
1191,2019070912,tarami,香浓组合,201906,88.0,3879,336996.0,80.52,196.0
1229,2019070912,three squirrels/三只松鼠,垦丁的晚霞果味果冻360G,201906,20.57,754909,15524362.310000002,89.53,101.0
1249,2019070912,three squirrels/三只松鼠,牛奶冻,201906,15.79,460990,7725305.609999998,85.63,143.0
1265,2019070912,xtaml,玫瑰果冻,201906,29.88,5862,162462.74000000002,87.27,121.0
1283,2019070912,yutior,新品臻纤果吸,201906,71.77,5666,941139.2,91.59,74.0
1292,2019070912,一定畅,果味型果冻,201906,128.0,5007,640896.0,89.76,99.0
1319,2019070912,三叔公,果冻布丁,201906,38.26,6814,254613.09,89.86,96.0
1342,2019070912,三叔公,黄桃冻+青梅冻,201906,56.77,2189,124586.79,86.44,133.0
1390,2019070912,中露,SOHO STAR果冻380G,201906,34.56,47313,1501438.51,79.95,200.0
1426,2019070912,中露,什锦果肉,201906,27.4,6171,164607.22,38.99,256.0
1442,2019070912,乖乖瘦,1盒蓝莓果冻,201906,84.86,104842,13789293.95,97.74,9.0
1458,2019070912,乖乖瘦,益生菌果冻,201906,101.14,38763,4590921.539999998,96.85,16.0
1474,2019070912,乖乖瘦,酵素果冻,201906,89.2,10439,1234382.4,93.52,44.0
1517,2019070912,亲亲,果冻90G,201906,17.19,17495,156766.95,61.2,252.0
1543,2019070912,优洽,SOSO果冻,201906,48.61,379092,17807985.119999997,95.28,27.0
1581,2019070912,优洽,红果冻,201906,34.23,52425,2000630.0999999999,91.9,68.0
1595,2019070912,优洽,蓝莓果冻,201906,48.62,5452,253716.2,97.87,6.0
1628,2019070912,优洽,酵素果冻,201906,50.28,154661,7457071.410000001,96.77,17.0
1646,2019070912,佰思宜,圣诞节礼包,201906,69.9,6719,423399.5,92.49,59.0
1700,2019070912,佳达,拖肥,201906,4.86,1370461,3571785.6800000006,84.45,152.0
1726,2019070912,共盈,拖肥,201906,13.8,10456,160472.40999999997,51.22,254.0
1760,2019070912,冠品园,胶原酵素果冻,201906,47.76,16134,968596.96,97.29,15.0
1791,2019070912,净尔氏,海藻冻,201906,36.37,3795,130901.8,,
1822,2019070912,净尔氏,酵素果冻,201906,37.0,10975,429817.8,92.39,62.0
1843,2019070912,凯基宁,黄金百香果味果冻,201906,22.88,10807,266071.89999999997,96.45,19.0
1856,2019070912,初萌,初萌酵素果冻A,201906,28.9,6575,179364.0,95.87,23.0
1874,2019070912,千逢,玫瑰果冻,201906,39.9,1975,86847.59999999999,,
1923,2019070912,华元,500,201906,9.6,27028,316034.10000000003,91.7,72.0
1932,2019070912,卓宜,酵素果冻,201906,26.0,1609,41615.0,91.94,66.0
1948,2019070912,喜之郎,150G/包,201906,1.98,112391,222363.61000000002,86.75,127.0
2002,2019070912,喜之郎,200G,201906,67.18,20595,990159.1699999999,78.77,207.0
2029,2019070912,喜之郎,24杯果肉果冻定制,201906,112.0,8016,797503.1900000001,87.22,122.0
2040,2019070912,喜之郎,CICI258毫升,201906,22.68,2176,43228.68000000001,82.84,174.0
2072,2019070912,喜之郎,CICI可吸果冻750G*3袋组合,201906,18.85,66542,1638354.6500000001,82.51,178.0
2090,2019070912,喜之郎,CICI果汁果冻15包,201906,27.57,28067,760891.41,86.42,134.0
2119,2019070912,喜之郎,CICI果汁果冻爽150G,201906,24.4,24114,363763.29000000004,77.77,214.0
2168,2019070912,喜之郎,CICI果汁果冻爽15袋,201906,31.44,6849,215079.97999999998,79.16,204.0
2197,2019070912,喜之郎,CICI果粒爽,201906,22.88,20827,399735.85000000003,81.2,191.0
2232,2019070912,喜之郎,乳酸什锦果冻360G*5袋,201906,16.4,58114,1103886.04,90.01,93.0
2269,2019070912,喜之郎,乳酸果冻,201906,7.11,12263,66819.89,91.78,69.0
2320,2019070912,喜之郎,乳酸果冻360G,201906,11.01,43016,173236.7199999999,76.84,219.0
2348,2019070912,喜之郎,乳酸果冻360G*5袋,201906,28.0,15455,379323.82,86.32,135.0
2394,2019070912,喜之郎,乳酸钙果汁果冻495G,201906,1.3,58597,67149.37999999999,91.47,77.0
2439,2019070912,喜之郎,什锦果冻360G*2袋 乳酸味儿童布丁零食小吃休闲食品大礼包,201906,14.62,12698,158114.32,82.89,173.0
2493,2019070912,喜之郎,什锦果肉果冻200G,201906,41.09,66465,2551385.4,90.78,84.0
2511,2019070912,喜之郎,大礼包,201906,48.07,3285,185467.92999999996,92.51,57.0
2554,2019070912,喜之郎,散装果冻,201906,25.98,19587,613847.98,74.11,226.0
2588,2019070912,喜之郎,果冻200G*10,201906,32.68,71296,2320712.95,90.88,82.0
2602,2019070912,喜之郎,果冻200GX10,201906,31.35,3830,119388.20999999999,63.63,251.0
2617,2019070912,喜之郎,果冻2500G,201906,31.79,7145,226194.78000000003,83.65,164.0
2668,2019070912,喜之郎,果冻360G,201906,18.6,277592,3966281.3800000004,91.52,75.0
2714,2019070912,喜之郎,果冻360G*5袋,201906,17.9,111257,2144698.2099999995,83.48,166.0
2749,2019070912,喜之郎,果冻90G,201906,16.55,296166,1388980.5799999998,80.76,194.0
2778,2019070912,喜之郎,果冻90G*30 整箱,201906,29.38,59515,1791557.95,89.16,105.0
2832,2019070912,喜之郎,果冻90克,201906,1.0,34457,38952.29,93.43,46.0
2886,2019070912,喜之郎,果冻条,201906,33.15,18907,614645.7200000002,71.35,238.0
2911,2019070912,喜之郎,果汁果冻/乳酸果冻495G*4袋,201906,33.49,10158,308938.19,80.68,195.0
2962,2019070912,喜之郎,果汁果冻150G,201906,10.78,4729,55685.53,78.19,213.0
2987,2019070912,喜之郎,果粒爽258ML*8,201906,21.78,12564,281867.67,90.72,86.0
3033,2019070912,喜之郎,果肉果冻200G,201906,13.08,27393,694844.2899999998,72.45,235.0
3049,2019070912,喜之郎,果肉果冻200G*16,201906,29.88,8461,257226.36000000004,82.33,179.0
3086,2019070912,喜之郎,果肉果冻200G*6,201906,24.3,11832,288984.45999999996,96.33,20.0
3124,2019070912,喜之郎,果肉果冻散称500G,201906,21.01,14450,442824.3499999999,78.76,208.0
3160,2019070912,喜之郎,水晶之恋果冻400G*5袋,201906,32.87,4750,143593.10000000003,78.49,210.0
3187,2019070912,喜之郎,沾粉果冻117G*16桶整箱,201906,50.0,1242,58687.2,90.6,90.0
3222,2019070912,喜之郎,混装口味2500克,201906,29.8,14371,432257.01000000007,70.43,239.0
3234,2019070912,喜之郎,网红抖音款,201906,16.56,6662,162174.92999999996,81.53,187.0
3252,2019070912,喜之郎,脆脆冰,201906,25.8,1912,55032.1,88.94,110.0
3262,2019070912,喜之郎,苹果味果冻,201906,21.74,24506,570758.3099999999,83.09,169.0
3275,2019070912,喜之郎,茶味果冻117G,201906,17.59,3966,74529.29999999999,90.63,89.0
3317,2019070912,喜之郎,草莓味果冻90克,201906,1.12,104537,209012.36,78.34,212.0
3362,2019070912,喜之郎,蜜桔果肉果冻,201906,25.25,25034,575920.0800000001,90.35,92.0
3387,2019070912,喜之郎,蜜桔果肉果冻990G*2袋,201906,57.04,41221,2179312.1799999997,92.32,63.0
3430,2019070912,喜之郎,蜜桔果肉果冻大袋 990G/袋,201906,32.6,33642,909235.21,92.55,56.0
3461,2019070912,喜之郎,蜜桔果肉果冻散500G,201906,31.64,8334,326056.62000000005,86.08,138.0
3479,2019070912,喜之郎,蜜桔果肉果冻散称500G,201906,45.48,4614,188038.08000000002,89.1,107.0
3533,2019070912,喜之郎,香橙味果冻90克,201906,1.33,291709,682746.2800000003,84.23,157.0
3562,2019070912,喜之郎,黄桃&蜜桃果肉果冻200G,201906,20.81,8537,167127.54,65.31,249.0
3611,2019070912,喜之郞,乳酸果冻360G,201906,3.9,12407,51498.08000000001,78.85,206.0
3619,2019070912,均畅,酵素果冻,201906,26.0,1729,44954.0,91.47,77.0
3631,2019070912,夏三优,优美世界,201906,30.0,6135,184050.0,93.02,50.0
3685,2019070912,好妈妈,果冻粉,201906,68.0,9318,633624.0,,
3696,2019070912,妍致,乳酸果冻,201906,17.74,7063,130215.88,71.57,237.0
3710,2019070912,妖秀,酵素果冻01,201906,29.0,5881,167975.0,94.54,31.0
3732,2019070912,姿然美,酵素果冻,201906,49.0,2891,99371.9,93.23,49.0
3752,2019070912,存臻,燕窝果冻5盒装,201906,65.7,3101,216419.34,93.98,38.0
3772,2019070912,存臻,综合果蔬,201906,50.11,2823,158974.99,86.99,123.0
3792,2019070912,存臻,酵素果冻组合,201906,25.84,11839,314376.73000000004,98.11,4.0
3801,2019070912,安之若素,洛神花果冻,201906,40.23,983,45807.939999999995,86.75,128.0
